mascon_id,n_dams,namo_hm3,namo_mm,obs_range_mm,res_anom_sd_mm,res_anom_range_mm,lat_center,lon_180,area_km2,leakage_2sigma_cm,leakage_trend_cm_yr,grace_noise_2sigma_mm,grace_tws_sd_mm,namo_over_noise,res_sd_over_tws_sd
3140,3,4025.8385516836684,324.50005575270495,313.43588838296654,80.83251811597884,311.84943378094243,29.0,-101.4649682,12406.28,0.9497212788680592,-0.0372147245285804,12.257356331154483,55.922337725678304,26.4739024456623,1.4454424010758467
3242,2,3941.950000228882,318.58208969136115,311.4507549246692,88.96808997055935,309.73384884696395,24.0,-99.02735560000002,12373.42,1.6424398024985396,-0.6509063177522929,19.487895803950877,47.3624446598412,16.34769053038417,1.8784522338222067
3150,1,3288.6541264225357,265.125097259511,265.1400457201283,61.15271995049583,265.1400457201282,27.0,-99.5625,12404.16,1.3316320148432716,0.0790571021977538,16.06961802481062,60.21474654746751,16.49853138078156,1.0155771377745302
3152,2,1206.92694433594,97.35228854931792,131.64721654008218,26.599648599677945,129.03185475804835,26.0,-99.752322,12397.52,1.4720956656144744,-0.3481779195347746,16.511050335514394,41.44501452911631,5.896189919542448,0.6418057491810247
3249,2,896.0,72.20338791834249,116.87335155072087,19.058481000576176,101.19167823720586,22.0,-97.8378378,12409.39,2.0668984808878297,-0.1403245636335044,25.86123453338573,58.10554468663221,2.791954414439537,0.3279976309207679
3145,1,874.1,70.4515962634298,107.43646782890441,27.562325378757325,107.4364678289044,28.0,-100.50473190000002,12407.1,1.0272301701801605,0.1967546657159212,13.70908184348579,68.22619409601168,5.139045566126416,0.403984506888514
3245,3,849.0029987792968,68.50439054136811,61.14225221307131,13.714741659572471,59.84188371077855,23.0,-98.42900300000002,12393.41,1.863423782826239,-0.4479752677848891,22.80409066125024,48.60792959218942,3.004039562856761,0.2821502947078048
3153,1,781.7,63.05293316727862,87.2798753299047,18.54415264492821,87.27987532990468,26.0,-98.63777090000002,12397.52,1.6606303762633894,-0.2950089799555238,17.98495301241574,45.31820827561853,3.5058714428528464,0.40919871615721126
3261,7,412.7780003890991,33.26335947126322,21.22255807900308,4.098911105023475,15.08776821423132,22.0,-102.1621622,12409.39,1.0883187690125964,0.2974379182167753,17.19369683841461,84.85711383522155,1.9346252166634315,0.04830368274111798
3154,2,335.003,27.04417848997962,32.68667379765485,8.983856263774747,32.229671638176356,25.0,-99.9386503,12387.25,1.3974082234095089,-0.5764786694253631,16.73024211210359,40.77611916528489,1.6164845857439416,0.22032151287764612
3239,6,49.8610002117157,4.0180057369230635,3.842493466640988,0.8737746199911286,3.5088751340718605,22.0,-101.0810811,12409.39,1.1897890053469855,0.2396061642844157,17.824164814635765,79.74963300531323,0.22542462879516248,0.010956471986935844
1814,1,47.2949981689453,3.8121820698021724,3.3566064928407227,0.9531547434210774,3.3566064928407227,29.0,-100.3184713,12406.28,1.0554517370726528,0.2744905393903929,13.007862185986285,77.15997396537173,0.29306753218135545,0.012352968701736982
3149,1,19.0109996795654,1.5326309624807648,1.2418414467404484,0.24994873444767446,1.2418414467404482,27.0,-100.6875,12404.16,1.144550989715098,-0.0673175474558043,14.520741748938839,50.34744821001812,0.10554770472333261,0.004964476717966805
