mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed
9039,32.0,34.81967209999999,34.8196721,1.0,1.1803279,12380.52,80,6002,Israel,0.5985734489794278,0.0,False,1.5305640661484585,-0.13665907070789413,1.8597392261528227,6.114294483121945,37.384597026335456,0.8949447119357774,40.7730799766078,254
9041,31.0,34.480519500000014,34.4805195,1.0,1.1688312,12393.06,80,6002,Israel,0.9147349276513963,0.0,False,1.5556734181556653,0.0988160540089559,1.9211416205268699,7.206034919545602,51.926939261710594,0.9550164781256314,53.372820208951055,254
9043,30.0,34.147909999999996,34.14791,1.0,1.1575563,12401.62,80,6002,Egypt,1.0,0.0,False,1.4515237352573975,0.14825676940839486,1.816684923332101,6.9426284164719405,48.200089329203685,0.8539871332147148,55.44123600289059,254
9121,32.0,39.540983600000004,39.5409836,1.0,1.1803279,12380.52,80,6004,Saudi Arabia,1.0,0.5509412899050062,True,1.450497446783504,-0.26918712444055604,1.6059977013275877,6.210098232016359,38.56532005129271,0.6673934530460264,56.784984067910955,254
9122,32.0,40.72131150000001,40.7213115,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.25989262330209845,False,1.3652888030924473,-0.4646274152403588,1.5166496118988717,4.8411954414496225,23.437173302312605,0.5951995853409329,38.37699870689206,254
9123,32.0,41.9016393,41.9016393,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2484756318518049,-0.5776309728526565,1.4633898752905359,4.1106944614429635,16.897808955337855,0.5541306791280293,29.494267131947943,254
9124,32.0,43.08196720000001,43.0819672,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2017214015962012,-0.5690547231342826,1.5590796185243825,4.147279094210787,17.199923885277844,0.628968204561885,26.346253372630574,254
9125,32.0,44.26229510000002,44.2622951,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.3006503275346504,-0.4651516032455416,1.6362621841031262,4.633580606219431,21.470069234332836,0.6927840658411211,29.990997473744805,254
9126,32.0,45.442623,45.442623,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.4220457215164148,-0.3040128925986424,1.719798576446825,5.473114077020786,29.954977700083088,0.7653274203279724,38.140081623164924,254
9127,32.0,46.62295080000001,46.6229508,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.6320599539583414,-0.15118405370511956,1.8747863176302548,6.4484023060389495,41.581892300528445,0.9094852373197234,44.720249866915225,254
9128,32.0,47.80327869999999,47.8032787,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.0993641890548305,-0.08371270082562285,2.080162405328824,7.2694015949718604,52.84419954897943,1.1196610991868925,46.19660224630055,254
9129,32.0,48.9836066,48.9836066,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.6030841128739723,-0.12769857865493453,2.18976257374879,7.884678606272081,62.168156724204636,1.2407553625276835,49.10508807921235,254
9130,32.0,50.16393440000002,50.1639344,1.0,1.1803279,12380.52,80,6004,Iran,1.0,0.0,False,2.5764430838252763,-0.25854267247258594,2.0746971575248683,8.021886508882508,64.3506631613912,1.1137854168143444,56.776535937638094,254
