month,observed,mission,decimal_year,arabian_peninsula_lwe_cm,arabian_peninsula_uncert95_cm,box_all_land_lwe_cm,box_all_land_uncert95_cm
2002-04,True,GRACE,2002.2931506849316,4.53329032540628,0.6986285490843929,3.7086688280060938,0.6167884606142122
2002-05,True,GRACE,2002.3561643835617,1.8782616569341366,0.6986736457411414,1.2902696799825415,0.6168269191351669
2002-06,False,GRACE,2002.4520547945206,,,,
2002-07,False,GRACE,2002.5369863013698,,,,
2002-08,True,GRACE,2002.6246575342466,3.2276636345573064,0.7171232491170467,2.3352775472065233,0.6325607785647154
2002-09,True,GRACE,2002.7068493150684,1.3878147644708454,0.8460893298357292,0.6813003345337925,0.7425433155257877
2002-10,True,GRACE,2002.7917808219179,4.511586882664554,0.8052135343238032,3.1468747356781717,0.7076843536526267
2002-11,True,GRACE,2002.8739726027397,2.997766017043169,0.8004195793793839,1.9634242467431726,0.7035960590876823
2002-12,True,GRACE,2002.958904109589,2.096362896342522,0.8298226000543028,0.7313341890762726,0.7286710151546226
2003-01,True,GRACE,2003.0438356164384,3.015222166183726,0.956815961461668,2.168967822534682,0.836971213059087
2003-02,True,GRACE,2003.123287671233,1.8199013789902587,0.8695135842901934,1.2432972048662783,0.7625195675524221
2003-03,True,GRACE,2003.2054794520548,0.9045592930804954,0.7694615107927362,0.5412712868351368,0.6771949549865081
2003-04,True,GRACE,2003.2876712328766,0.8096295698765491,0.7312781608926616,0.12972054423180954,0.6446321162285945
2003-05,True,GRACE,2003.358904109589,1.7629986137262657,0.7638617080459177,0.9688503341830297,0.67241943177029
2003-06,False,GRACE,2003.4520547945206,,,,
2003-07,True,GRACE,2003.5397260273974,1.496557629490557,0.7386432346542378,0.6077349483248126,0.6509130661705449
2003-08,True,GRACE,2003.6246575342466,1.8152847199249555,0.7225703121995765,1.4179424153524596,0.6372060450833626
2003-09,True,GRACE,2003.7068493150684,1.7352080373464263,0.7430480845727269,1.4381969070086407,0.6546695311748967
2003-10,True,GRACE,2003.7917808219179,0.6048592030887006,0.7460973674136714,0.06017394763936117,0.6572699658077095
2003-11,True,GRACE,2003.8739726027397,0.95841584654638,0.7452072158316912,0.19889245955745505,0.6565108427210773
2003-12,True,GRACE,2003.958904109589,2.997916145044268,0.7578442744916536,2.483131653799485,0.66728775214876
2004-01,True,GRACE,2004.01912568306,3.638799674314644,0.7911749212418603,3.070796754985048,0.6957121957521706
2004-02,True,GRACE,2004.1284153005465,1.7669505773083731,0.7801768034669133,2.0067394302900285,0.6863329784576335
2004-03,True,GRACE,2004.207650273224,-0.04895143738258978,0.7627788940123041,-0.02652714702726145,0.6714960057515245
2004-04,True,GRACE,2004.2896174863388,1.7299484442207298,0.7927357741433732,1.5486470129335022,0.6970432942935453
2004-05,True,GRACE,2004.3743169398906,0.3103745360135451,0.7825268265136572,-0.3112800260142123,0.6883370829101964
2004-06,True,GRACE,2004.4562841530055,-0.05880612720128075,0.7826400089534874,-0.7893457463021706,0.6884336051259806
2004-07,True,GRACE,2004.5409836065573,2.408027161230378,0.7479734158517445,1.7027745430214027,0.6588698637462324
2004-08,True,GRACE,2004.6256830601094,-0.1672135020518484,0.7188761669071758,-0.3427307074917052,0.634055670435262
2004-09,True,GRACE,2004.707650273224,0.6430196561778277,0.6941718264711954,0.31655622195940375,0.6129877584698988
2004-10,True,GRACE,2004.792349726776,0.5968690544589501,0.6986022131231974,-0.052565859657366085,0.616766001252732
2004-11,True,GRACE,2004.8743169398906,1.744309637408088,0.7376431077459972,1.0843462112848576,0.6500601559011288
2004-12,True,GRACE,2004.9590163934427,1.983434155960342,0.7693526445705087,1.782770951019582,0.6771021136499084
2005-01,True,GRACE,2005.0438356164384,1.1137499816661873,0.8281899692960958,1.5534419241456314,0.7272787043105025
2005-02,True,GRACE,2005.123287671233,2.9222580439474592,0.7652927740190263,3.5655313149939243,0.6736398477541214
2005-03,True,GRACE,2005.2054794520548,2.364367666279521,0.7237797410070214,3.292694859788351,0.638237448439775
2005-04,True,GRACE,2005.2876712328766,0.6606971088475392,0.7412656080087093,1.0124969915060351,0.6531494315216255
2005-05,True,GRACE,2005.372602739726,1.5901171883203586,0.6881905112829984,1.8330220259344552,0.607886880664698
2005-06,True,GRACE,2005.454794520548,0.9523423991633289,0.7419165228233785,0.6370877010682053,0.6537045330046192
2005-07,True,GRACE,2005.5397260273974,-0.39498985361279226,0.6721528018692617,-0.39644215844576625,0.5942098893307144
2005-08,True,GRACE,2005.6246575342466,0.15125836048246918,0.6900983615394771,0.5433561867677843,0.6095138992588894
2005-09,True,GRACE,2005.7068493150684,1.5978249374600306,0.6926143074838058,1.7362322356325153,0.6116595030972961
2005-10,True,GRACE,2005.7917808219179,1.2881440551847805,0.6972805743434006,1.4538946489641966,0.615638905002787
2005-11,True,GRACE,2005.8739726027397,1.331185683199393,0.7052147140524218,1.2610710186292386,0.6224051555466421
2005-12,True,GRACE,2005.958904109589,2.08821940956315,0.7435570564287113,2.0021447346923313,0.6551035834129044
2006-01,True,GRACE,2006.0438356164384,0.39011329544747125,0.7662827379239976,0.8467345737542535,0.674484090993599
2006-02,True,GRACE,2006.123287671233,2.104272992554239,0.7665003655522817,2.7628852096525307,0.6746696842793535
2006-03,True,GRACE,2006.2054794520548,1.820106935445321,0.7736535564993599,2.43111721887087,0.6807699401244754
2006-04,True,GRACE,2006.2876712328766,1.367005100503272,0.8085254554010032,1.7655737259173825,0.7105087667095746
2006-05,True,GRACE,2006.372602739726,-0.9118026730906043,0.7865733308521464,-0.8871300225422195,0.6917879500722518
2006-06,True,GRACE,2006.454794520548,0.252907719591612,0.8231579366638284,-0.2957076008191843,0.7229873766072524
2006-07,True,GRACE,2006.5397260273974,-0.7363340628235887,0.7616082767570158,-0.7590465517381795,0.6704977009660373
2006-08,True,GRACE,2006.6246575342466,-0.20629315430601572,0.7520073459553888,0.05683097743839755,0.6623100075751369
2006-09,True,GRACE,2006.7068493150684,-0.4339639760364775,0.720563650173113,0.23422748239022512,0.6354947596099726
2006-10,True,GRACE,2006.7917808219179,-0.7555944375124487,0.7562001827362551,-0.5165010534175116,0.665885667342834
2006-11,True,GRACE,2006.8739726027397,0.4257644610553962,0.7432248401911214,0.941343872249003,0.6548202687271653
2006-12,True,GRACE,2006.958904109589,2.081507997249013,0.8239419989864195,2.1452680247713114,0.7236560265568642
2007-01,True,GRACE,2007.0438356164384,1.936806684105123,0.8009317932652572,2.4740287088873605,0.7040328761353984
2007-02,True,GRACE,2007.123287671233,1.0547580188826542,0.8440612891988007,1.954107161735724,0.7408137983297429
2007-03,True,GRACE,2007.2054794520548,-0.3633920619902948,0.780562965534895,0.3304490080285343,0.6866622982576778
2007-04,True,GRACE,2007.2876712328766,-0.10171801657041254,0.7328269416563977,0.5818892095209116,0.6459529196262243
2007-05,True,GRACE,2007.372602739726,-0.3812902669550651,0.7391207413698275,-0.1755237001608724,0.651320284872578
2007-06,True,GRACE,2007.454794520548,-0.0037768177986650052,0.736846902967864,0.06949221046945665,0.6493811508406382
2007-07,True,GRACE,2007.5397260273974,-0.41373549565020135,0.7416978726787367,-0.18951433906164167,0.6535180677148268
2007-08,True,GRACE,2007.6246575342466,-0.5588733567761913,0.7435770096249128,0.33129716916873636,0.6551205995393656
2007-09,True,GRACE,2007.7068493150684,-1.057021322434376,0.7103637047757695,-0.24531758717292063,0.6267962253487721
2007-10,True,GRACE,2007.7917808219179,-0.9957894851312088,0.734964538784185,-0.3056964247140849,0.6477758668213678
2007-11,True,GRACE,2007.8739726027397,-0.5252652106190682,0.7176540943450418,-0.2568001080580122,0.6330134844590346
2007-12,True,GRACE,2007.958904109589,0.263492685734728,0.7364883825209547,0.6152132673189068,0.6490754038714835
2008-01,True,GRACE,2008.0437158469945,0.1603179235509953,0.7293196725695282,0.5163510292015278,0.6429619133877661
2008-02,True,GRACE,2008.1256830601094,0.6011745083908807,0.7772393216402923,0.8869161750139787,0.6838278879581124
2008-03,True,GRACE,2008.207650273224,0.10649014896628044,0.8128850303509139,0.2610344119375926,0.7142266211282807
