mascon_id,lat,lon,gsfc_trend_cm_yr,csr_trend_cm_yr,diff_cm_yr,gsfc_p,csr_p,r
9121,32.0,40.72131150000001,-0.5645847819453165,-0.7130872669835628,-0.14850248503824637,5.6198510853500224e-08,8.86922280125142e-20,0.9133113528292068
9141,29.0,45.286624200000006,-0.28527174388481724,-0.33015123979543703,-0.04487949591061979,7.619337881049337e-09,1.5805704011536384e-11,0.6549536277082479
9142,29.0,46.433121,-0.05391617431885294,-0.2933807040009778,-0.2394645296821249,0.21030319530981031,2.1079032917453396e-09,0.4493631532843961
9143,28.0,44.858044199999995,-1.1199273602648554,-0.5812858079865535,0.5386415522783019,1.3675579291080734e-63,2.068875244629666e-40,0.8945483523096096
9144,36.0,37.7319588,-1.4123903140735663,-0.9630510475864739,0.44933926648709244,2.8707853613803237e-07,8.115741805540548e-09,0.910572865528927
9155,31.0,39.15584419999999,-1.328541741901464,-1.3148849581146318,0.013656783786832216,4.54113038596907e-32,4.2280514105966304e-40,0.9599849008753539
9156,30.0,36.463022499999994,-1.723150975896709,-1.409110242037428,0.314040733859281,5.509371569157813e-89,9.457958500110676e-66,0.9405898971147368
9158,30.0,38.77813499999999,-1.7865347460297645,-1.7693369910265262,0.01719775500323828,3.529502652062876e-64,3.6465085873013096e-44,0.961115012580498
9159,29.0,37.261146499999995,-1.7338364225658733,-1.6415354742276471,0.09230094833822622,1.847499493520437e-110,1.4578470250498356e-68,0.9474164643714515
9160,29.0,38.40764329999999,-1.839633604937432,-1.8623440428117413,-0.022710437874309264,1.4383891630598724e-100,2.273064131577476e-69,0.9606790280666929
9161,32.0,36.0,-1.012605207521751,-0.401291059072378,0.6113141484493732,4.240221267613741e-38,5.340637786400307e-35,0.7489986265331945
9167,28.0,35.7728707,-0.9970310386463714,-0.595536986016868,0.40149405262950344,5.313820206264124e-88,3.575825034622949e-92,0.6997496880782447
9168,28.0,36.908517399999994,-1.210541624636442,-1.028886118978068,0.18165550565837396,2.029363705659152e-102,2.7019907342471885e-104,0.9268244575900766
9169,27.0,36.5625,-0.5811385187911777,-0.4393669791669176,0.14177153962426015,8.373829600362196e-64,6.712373859920211e-36,0.6526819905819398
9170,27.0,37.6875,-0.7496051468666645,-0.5358786508145492,0.21372649605211524,3.708160263359761e-80,4.2981481084236256e-24,0.8252612419242948
9171,26.0,37.3374613,-0.16260891382450113,-0.19685349176885011,-0.034244577944348986,1.8240695788170672e-13,4.5490026718344716e-07,0.5487976126730755
9172,26.0,38.4520124,-0.3923511334477974,-0.39103144607361784,0.0013196873741795345,6.657313801090515e-47,9.04789108173131e-14,0.7889600436208326
9173,26.0,39.5665635,-0.8118463728719844,-0.6325024660161265,0.17934390685585788,5.39184820838115e-89,1.707982257711046e-25,0.8685906056364352
9174,25.0,38.09815950000001,0.042900066953351336,-0.15418007363902397,-0.1970801405923753,0.025416517926629644,1.229075364746592e-06,0.4369911596617302
9175,25.0,39.20245399999999,-0.2599392596997614,-0.31024871807141857,-0.05030945837165718,2.9854404782544413e-31,1.8992937071940384e-13,0.7153755404933319
9176,25.0,40.3067485,-0.7150837621841086,-0.47056499367925797,0.24451876850485066,8.818682228628245e-83,1.117899968458034e-21,0.8457443574832493
9177,24.0,38.84498479999999,0.04291481759921787,-0.12149988332500783,-0.1644147009242257,0.017271576074566794,2.5558274481196488e-05,0.3552479451139509
9178,24.0,39.93920969999999,-0.23332078339455792,-0.2915248091742881,-0.05820402577973016,1.568424058796654e-28,3.7572393727271547e-16,0.6883444373315762
9179,24.0,41.03343469999999,-0.5666889747101328,-0.40700030725289754,0.15968866745723526,2.316549742255581e-75,1.3188966504129246e-20,0.8332969690936908
9180,23.0,39.6978852,-0.02905430060584191,-0.1930834940861807,-0.1640291934803388,0.08608911709257351,9.794545378883775e-14,0.3234136570763924
9181,22.0,39.45945950000001,-8.345924799204595e-05,-0.036102806939345554,-0.03601934769135351,0.9962397305394916,0.06255959246245135,0.1063554176744225
9182,21.0,40.17857140000001,-0.09330025743404521,-0.1803918138245198,-0.08709155639047458,3.6837212546481926e-06,3.330909547690109e-14,0.3949094811509365
9183,20.0,41.0059172,-0.22458920749584496,-0.20237564862588897,0.02221355886995599,4.7341347273536294e-21,4.997919209503112e-16,0.5249277703468403
9184,19.0,41.823529399999984,-0.3484635757650397,-0.2360470698999979,0.11241650586504182,1.0130588331498857e-44,7.959565827445533e-20,0.5890448237937861
9185,18.0,42.631578899999994,-0.3394542272288881,-0.2493621374300652,0.09009208979882288,2.8259926750279183e-42,5.339572129490928e-21,0.6154775041428862
9186,17.0,43.43023260000001,-0.21423781031057604,-0.2247616216087101,-0.010523811298134067,8.223676285413556e-17,7.043709077875308e-18,0.5849550723843165
9187,16.0,43.179190800000015,-0.06251609074822176,-0.07148622799896173,-0.008970137250739973,0.026344531466084585,0.0003159622332920633,0.3980239603955948
9188,16.0,44.21965320000001,-0.13923771813661373,-0.1501573078730746,-0.010919589736460872,1.473008855699198e-07,1.7685951073726439e-10,0.5279959526205219
9189,16.0,45.260115600000006,-0.15539276692595916,-0.17785842832259752,-0.02246566139663836,7.051675012423845e-11,3.2996287398319705e-13,0.4714029164120719
9190,16.0,46.300578,-0.13191845199006058,-0.1734739935066246,-0.041555541516564015,6.487454828160166e-10,1.8505098635309997e-12,0.462305107568528
9191,16.0,47.34104049999999,-0.1068407275987557,-0.14837789460675585,-0.041537167008000156,8.412657045511825e-08,4.798957617671638e-10,0.43375156267461723
9192,16.0,48.38150289999999,-0.10510783626490125,-0.12617550913912706,-0.021067672874225812,5.061468540603571e-07,1.0235774895835236e-08,0.3885239593212452
9193,16.0,49.42196530000001,-0.12463626944434028,-0.06806716656812188,0.0565691028762184,4.3143650680356894e-08,0.0005474020460228383,0.3534063605458956
9194,16.0,50.462427700000006,-0.11147222846805942,-0.023961562335028042,0.08751066613303138,5.922947462545454e-06,0.21844527111055273,0.3817477928263345
9195,15.0,43.965517199999994,-0.08240125557564948,0.0007853505130849036,0.08318660608873438,0.0046151779980578775,0.9720360168794894,0.5081340122637349
9196,15.0,45.0,-0.15820923747799895,-0.041929259132408435,0.1162799783455905,5.1829341690044635e-09,0.0594549993234578,0.39033717601846585
9197,15.0,46.034482800000006,-0.1595505552128415,-0.05236807046179681,0.1071824847510447,4.800135720551532e-11,0.02087297497950962,0.35958295561236053
9198,15.0,47.06896549999999,-0.12867844661564992,-0.04838144898713441,0.08029699762851551,3.3319529042341675e-09,0.028707083963977337,0.42673497386215137
9199,15.0,48.1034483,-0.10360386981327654,-0.03006718608696444,0.07353668372631211,2.0768713659369486e-06,0.1527329608842382,0.35829048463773516
9200,15.0,49.13793100000001,-0.10312050911827626,-0.028126969717951856,0.07499353940032441,9.745090205865901e-06,0.11723113126570976,0.37448007307997144
9201,15.0,50.172413800000015,-0.0882284187149672,0.013927483610707192,0.1021559023256744,0.0003179292951579267,0.44524248718873044,0.3021338281375713
9202,15.0,51.20689659999999,-0.028680574954183413,0.024893282458010722,0.053573857412194135,0.2713483821261574,0.07414583640732066,0.5049787377020563
9204,14.0,44.87106019999999,-0.15108866516722977,0.08961887360413624,0.24070753877136603,1.9639031761905277e-07,0.00016674446256625456,0.2634242263726709
9205,14.0,45.902578800000015,-0.18828935671939567,0.055307886510476044,0.24359724322987172,2.2173195510726338e-12,0.01543537302088211,0.28786200483665114
9206,14.0,46.934097399999985,-0.1621369288554561,0.01952029875104202,0.18165722760649813,1.2328696261883118e-11,0.3333438108157751,0.38615964493974125
9207,14.0,47.96561600000001,-0.1176192648521031,-0.013261540884679878,0.10435772396742322,2.1235633132940114e-07,0.35954966782396774,0.3754335976306873
9208,14.0,48.997134700000004,-0.08197440073576452,-0.011794125217817886,0.07018027551794663,0.00035024996531427335,0.3594715726079158,0.10571990292302304
9210,13.0,44.6153846,-0.04486554259804372,0.10979776112750592,0.15466330372554965,0.11746881633773767,1.687190803383998e-07,0.6197574881599596
9211,13.0,45.641025600000006,-0.14749135714648426,0.0238824988179863,0.17137385596447055,4.3638665512467156e-08,0.0916459964770561,0.5286314986278822
9213,31.0,41.493506499999995,-0.5587731921376404,-0.619045311239212,-0.0602721191015716,2.6651721796609708e-08,2.3835649611397813e-31,0.8606065651772711
9214,31.0,42.662337699999995,-0.23538697225190292,-0.41850563485641884,-0.18311866260451592,0.010249199975472427,1.977923174819666e-17,0.615973785841685
9216,30.0,41.093247599999984,-1.0885481413667382,-1.0371721980211306,0.05137594334560758,2.698715387458915e-28,6.26182436320524e-70,0.9364570251173706
9217,30.0,42.250803899999994,-0.6553343699000121,-0.602830032750609,0.05250433714940317,5.388715110193011e-13,2.0233835186863388e-41,0.8393843030291148
9218,30.0,43.40836010000001,-0.2698515051170446,-0.3828634382262086,-0.11301193310916402,0.00034575354496888027,1.6913040635915012e-15,0.582226728529956
9219,29.0,39.554140099999984,-1.800490084254222,-1.791939412570052,0.008550671684169897,2.4940078899601586e-88,4.026576510634777e-87,0.963894074199468
9220,29.0,40.700636900000006,-1.6286591213550365,-1.5163968601877384,0.1122622611672981,3.7255307229446e-71,2.912975923473267e-87,0.9551149722086633
9221,29.0,41.847133799999995,-1.3544927533413709,-1.111718032427601,0.24277472091376984,2.7652221175758025e-50,9.081825322986163e-92,0.9336430963480347
9222,29.0,42.99363060000002,-1.0011164942467419,-0.6875088032769565,0.31360769096978536,4.046566949362186e-37,2.5055731106183386e-56,0.897251231664278
9223,29.0,47.579617799999994,-0.004153210055747536,-0.21151489416680747,-0.20736168411105993,0.9291356534164504,4.262369080953884e-09,0.5048201073971647
9224,28.0,38.044163999999995,-1.4173304324112206,-1.2388683330505663,0.17846209936065427,6.022381845358226e-110,2.8862065939329244e-88,0.9423401063180104
9225,28.0,39.17981069999999,-1.6136554746535854,-1.4494595435731221,0.16419593108046326,3.6075493991862715e-108,1.256467525385611e-82,0.9535036182686175
9226,28.0,40.315457400000014,-1.777537945024902,-1.6707380547235786,0.10679989030132342,3.7130237468688082e-103,1.854367144479472e-88,0.9642133130412216
9227,28.0,41.45110410000001,-1.853244695681461,-1.6209160606943818,0.23232863498707923,7.419189137050491e-92,3.161173088742044e-89,0.9649536341680799
9228,28.0,42.586750800000004,-1.7732572310563335,-1.3144019117653964,0.45885531929093704,8.864820795713528e-87,3.7490788775977015e-107,0.9596050396538822
9229,28.0,43.7223975,-1.5140557549824738,-0.979821208890883,0.5342345460915908,9.190746058263124e-84,1.1776170495127362e-90,0.94641425966635
9230,28.0,45.99369089999999,-0.6917592615601567,-0.4420023255316954,0.24975693602846127,1.702547406683354e-36,1.5275378612463988e-25,0.8548136634747115
9231,28.0,47.12933749999999,-0.368298677340125,-0.32908340558187044,0.039215271758254566,2.6795319122039007e-16,3.898694705542594e-15,0.7689773506432516
9232,28.0,48.264984200000015,-0.2532660756239039,-0.27803356986691874,-0.02476749424301483,4.626652788992234e-09,4.560827281805454e-13,0.7347051631477788
9233,27.0,38.8125,-1.0359378976829108,-0.8153924778346543,0.22054541984825649,3.8915386094493535e-98,2.18611856372936e-35,0.8919457908775666
9234,27.0,39.9375,-1.4281538362462092,-1.1776441440843466,0.2505096921618626,6.525903987000131e-113,1.1538772604581084e-52,0.9375146345952478
9235,27.0,41.0625,-1.8304487255151116,-1.6286181375098123,0.2018305880052993,4.761904644270827e-121,1.0794869097359818e-67,0.9647390682719479
9236,27.0,42.1875,-2.1032069397183206,-1.6896513845373715,0.4135555551809491,8.169106062776279e-113,5.5632847366758165e-81,0.9675500047685691
9237,27.0,43.3125,-2.127319612426718,-1.4853466035113554,0.6419730089153628,4.590688388009064e-109,3.97964889940158e-89,0.9562604363481066
9238,27.0,44.4375,-1.8741759099896336,-1.1359838419919552,0.7381920679976783,2.3275203317816605e-100,8.944740080898191e-79,0.9371772224899282
9239,27.0,45.5625,-1.420434818082126,-0.7666380630703976,0.6537967550117284,3.6224792747757896e-73,3.8579966664747e-66,0.9256772127467676
9240,27.0,46.6875,-0.9237446857229837,-0.524179322203497,0.3995653635194868,2.7142858503220535e-47,1.169070992708422e-46,0.9025087209816425
9241,27.0,47.8125,-0.548774632351507,-0.3864437859076767,0.16233084644383033,5.801080341137412e-29,1.2833823466220362e-25,0.8461829950262435
9242,27.0,48.9375,-0.3927672536007439,-0.296028292036703,0.09673896156404088,2.46059825111571e-19,1.7570939590071898e-20,0.797492468018416
9243,26.0,40.6811146,-1.3459570963894572,-0.9629013829805693,0.3830557134088879,3.0808040207918684e-120,8.738957208233314e-43,0.9352316036278434
9244,26.0,41.79566560000001,-1.8394293572561735,-1.3056597355183368,0.5337696217378367,1.4659111194838417e-129,9.24456608681204e-70,0.9597162394517731
9245,26.0,42.91021670000001,-2.1268127832108212,-1.544277123504148,0.5825356597066733,7.804013020585124e-126,1.7446899678215427e-84,0.9554617345289896
9246,26.0,44.024767800000006,-2.1136182161927786,-1.4443383270312977,0.6692798891614808,1.163442597426979e-109,2.1148403136002617e-77,0.9422371246282341
9247,26.0,45.139318900000006,-1.812852889855162,-1.0732464199503036,0.7396064699048583,1.469035883308003e-93,4.1016356219210004e-75,0.9367820230371383
9248,26.0,46.253870000000006,-1.3474456133082433,-0.7360012212020566,0.6114443921061867,3.9498899449485643e-72,7.652144177545087e-80,0.9364883079607345
