,gsfc,csr
2007-10-01,-9.918169068498745,-13.942608961611208
2007-11-01,-3.9744299196038217,0.5620948371392656
2007-12-01,5.030155943583556,3.3636912135349077
2008-01-01,3.026900659588822,4.190921198671782
2008-02-01,6.6238859634899345,4.366948657408956
2008-03-01,2.073334150418108,2.36170240145794
2008-04-01,-8.497732909203727,-5.732998713016997
2008-05-01,-15.264330245514575,-14.476170413423596
2008-06-01,-25.996249766950775,-21.539983879858195
2008-07-01,-19.533909845279602,-15.988677752674734
2008-08-01,-10.156431744501246,-21.61374646848665
2008-09-01,-24.556528857953356,-31.34894692630352
2008-10-01,-27.343160750117562,-33.14212646848026
2008-11-01,-10.051712075807604,-14.259371616192384
2008-12-01,-3.7184764144209086,-4.116905126015661
2009-01-01,9.115703899351969,4.044308819849372
2009-02-01,-9.20852526013505,-15.076800138742025
2009-03-01,-14.009240244135663,-13.59919086750103
2009-04-01,-7.440208752064045,-9.613583592060108
2009-05-01,-23.378083076178328,-17.793946740457717
2009-06-01,-27.520542474577656,-18.32912102933716
2009-07-01,-12.187070477355517,-17.240530861129802
2009-08-01,-22.96602322998797,-28.385261320539946
2009-09-01,-23.186061519111878,-23.262896068674834
2009-10-01,-26.434813383832516,-25.05070381148808
2009-11-01,-25.231589167804863,-14.23230687167746
2009-12-01,-20.651836150684883,-14.811829525159181
2010-01-01,-7.082341348973508,-7.294026117099419
2010-02-01,-10.76430851994956,-2.1543447322298133
2010-03-01,-21.91112806966045,-9.148337634053528
2010-04-01,-18.26747986207623,-8.058769508963636
2010-05-01,-13.082512654131708,-5.80836075484493
2010-06-01,-28.37627683315511,-30.13137811855633
2010-07-01,-24.771470679661032,-22.02350508171019
2010-08-01,-32.3305603099753,-31.85736096196824
2010-09-01,-42.89140705871398,-34.574940737245086
2010-10-01,-30.764327508861708,-19.909060803465973
2010-11-01,-26.946635907334244,-12.53892892795128
2010-12-01,-20.803171852221617,-15.394510517797508
2011-02-01,-21.747836034903727,-9.386464198428934
2011-03-01,-32.33220793140618,-13.845535212441582
2011-04-01,-26.281303757298474,-17.038514546765683
2011-05-01,-28.140004393594666,-20.95233672418802
2011-07-01,-37.87612969051014,-29.941152937953337
2011-08-01,-42.384415145640894,-35.8303742036923
2011-09-01,-39.11247989558261,-33.84588228198434
2011-10-01,-39.64170869297875,-38.18636558279071
2011-12-01,-25.477261777366884,-17.81792194350068
2012-01-01,-28.785531648707476,-18.543643128738125
2012-02-01,-32.57509258370316,-23.50457879689471
2012-03-01,-28.602001909287022,-19.15909965866701
2012-04-01,-35.99941422042429,-23.859443468658217
2012-06-01,-38.348967413769024,-37.97601926173283
2012-07-01,-35.039520882568645,-35.698673397101416
2012-08-01,-53.87135437775816,-48.90474315571707
2012-09-01,-54.032132537202216,-45.723655071579564
2012-11-01,-45.6301460801308,-31.720982956275556
2012-12-01,-49.04280029579174,-31.953296151988884
2013-01-01,-39.563406814764726,-28.121005810094033
2013-02-01,-43.53439244373352,-34.54069530632054
2013-04-01,-40.82031139277014,-30.345756353254572
2013-05-01,-31.818188834689227,-25.748932108541613
2013-06-01,-36.46180610762073,-28.814320787644565
2013-07-01,-48.07310878551401,-36.54650419697738
2013-10-01,-52.73646046833989,-35.58620828891058
2013-11-01,-44.6040474095922,-29.883200329379278
2013-12-01,-53.37226504335053,-40.64322640620955
2014-01-01,-29.774536773320918,-17.193183414235016
2014-03-01,-25.096784089475065,-5.245910282743457
2014-04-01,-42.35177330701145,-29.0831805692288
2014-05-01,-53.65459313773569,-41.61244806599674
2014-06-01,-53.112877193946126,-45.68717572691578
2014-08-01,-58.87131787232866,-41.344207889178556
2014-09-01,-62.999665911811555,-46.76859579653343
2014-10-01,-52.123931202278236,-28.5770672425818
2014-11-01,-49.0830072848841,-32.03052331613042
2015-01-01,-20.16485135664954,-19.019572029705724
2015-02-01,-39.545662962600495,-33.72642480562013
2015-03-01,-53.40644344797308,-41.11158915752865
2015-04-01,-64.78173965452035,-52.96037689315306
2015-07-01,-58.594408205732464,-32.95789199024629
2015-08-01,-46.14096376005034,-44.295231918055734
2015-09-01,-47.7744109593863,-52.73069315869603
2015-12-01,-52.26642980677357,-36.522347281214245
2016-01-01,-49.28994186136735,-30.763632878532317
2016-02-01,-52.481896726511515,-33.44453234484642
2016-03-01,-70.38593007865272,-63.102574662106846
2016-05-01,-60.46432959657911,-38.39503926504444
2016-06-01,-55.20594057984951,-47.55162036590228
2016-07-01,-40.874846678984994,-41.22353192483561
2016-08-01,-63.87413807086543,-50.22637965525734
2016-11-01,-64.04898276633597,-39.105763723666435
2016-12-01,-50.46146650061183,-42.432050944186116
2017-01-01,-41.19226311789954,-43.57310583490008
2017-03-01,-39.84044574543435,-32.75487413944548
2017-04-01,-68.28362637571554,-42.69286911679979
2017-05-01,-76.5418942646816,-43.78834911587234
2017-06-01,-91.9241846530893,-56.917457623056855
2018-06-01,-57.67862473807416,-53.791259116918376
2018-07-01,-60.83165677242978,-62.078797396109515
2018-10-01,-52.90574583100905,-44.588820737074734
2018-11-01,-41.8617254445761,-34.697855987041535
2018-12-01,-49.145176305597005,-39.7334883348748
2019-01-01,-56.126798564048634,-40.980714792157514
2019-02-01,-53.306941218180306,-41.79370330904173
2019-03-01,-64.81345466169925,-51.0925440780931
2019-04-01,-66.82450372868789,-47.67702675385667
2019-05-01,-62.096485739370266,-49.51270866828788
2019-06-01,-77.29567806193263,-49.08567253753893
2019-07-01,-82.05049521175532,-76.95326567566407
2019-08-01,-79.13770643432113,-70.90531336580237
2019-09-01,-74.37334375192296,-62.86286441740933
2019-10-01,-76.38941080776704,-51.37522708155181
2019-11-01,-72.0766757850408,-43.33102747922029
2019-12-01,-52.597373526602716,-40.91569398448564
2020-01-01,-66.01515725706894,-47.00346270202947
2020-02-01,-54.802491685486395,-46.83815843066291
2020-03-01,-60.16602541994135,-37.884578345770066
2020-04-01,-68.54322057744665,-35.37239454555891
2020-05-01,-79.14071148011611,-53.54749310578912
2020-06-01,-87.98651394061031,-62.302547730063196
2020-07-01,-88.11780430560839,-70.91724406021622
2020-08-01,-71.76274695777725,-72.18097328171804
2020-09-01,-65.06381318337581,-59.47088098065826
2020-10-01,-76.64245459518908,-55.1713254521172
2020-11-01,-74.14206653903055,-54.48561059488462
2020-12-01,-78.7343780430147,-56.04129848376524
2021-01-01,-65.56334410378071,-54.26825243704942
2021-02-01,-75.96917805924996,-57.305707220493815
2021-03-01,-69.44779984205516,-56.193508485900104
2021-04-01,-82.12512532446729,-61.93842282596576
2021-05-01,-83.740444233032,-68.95093804876366
2021-06-01,-85.97784212761547,-84.36857199024648
2021-07-01,-74.17977627308271,-88.80927808747994
2021-08-01,-78.55921782104178,-74.65462344481655
2021-09-01,-76.52854714482437,-77.59334265349247
2021-10-01,-86.01132618315756,-85.28314329811415
2021-11-01,-84.63607077060362,-84.21221035625864
2021-12-01,-73.55116537269764,-68.3507453236422
2022-01-01,-75.07413369995197,-52.307381969470896
2022-02-01,-87.85582746146996,-85.52517129773523
2022-03-01,-94.83092534819248,-79.87772091272244
2022-04-01,-85.07353761979927,-77.66598931569672
2022-05-01,-80.92444687449452,-79.67689762609048
2022-06-01,-86.22287599252402,-80.58722454912252
2022-07-01,-81.65094674670483,-68.67136808634027
2022-08-01,-79.82853897058267,-77.90004917974318
