HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,basin_idx,n_mascons,grid_cells,tws_trend_mm_yr,tws_p,gws_trend_mm_yr,gws_p,gws_coverage,ice_fraction,gws_model_spread_mm_yr,first_year,last_year,n_months_first_year,n_months_last_year,tws_first_year_mm,tws_last_year_mm,tws_endpoint_change_mm,gws_first_year_mm,gws_last_year_mm,gws_endpoint_change_mm,span_years,tws_trend_implied_change_mm,gws_trend_implied_change_mm
1040000010,0,1040000010,1040000010,0.0,0.0,236343.2,236343.2,1110,0,1,0,1,0,29.0,29.0,6.432038346724667,3.5492487133778714e-14,6.336760457689168,6.545173995584943e-10,1.0,0.0,1.6234669905328456,2018.0,2026.0,5.0,3.0,-18.619312607274214,17.420019382475957,36.03933198975017,-14.635771405276916,19.770391724256854,34.406163129533766,7.75,49.836190338756495,49.09796603767378
1040003990,0,1040003990,1040003990,0.0,0.0,111056.1,111056.1,1121,0,1,0,2,1,23.0,23.0,4.99673931428088,0.002755599296369009,5.689693798710271,5.9189107091526834e-05,0.9540122499689951,0.0,2.138499980580405,2018.0,2026.0,5.0,3.0,-18.871956483446166,10.088118262485759,28.960074745931927,-16.90537732238424,15.217887593514059,32.1232649158983,7.75,38.715324461094845,44.08441738631093
1040006850,0,1040006850,1040006850,0.0,0.0,28620.5,28620.5,1122,0,0,1,3,2,7.0,7.0,0.7427527141229753,0.6660551503125199,1.854734411618045,0.2778435464149537,0.9957805063806789,0.0,2.6317956107566967,2018.0,2026.0,5.0,3.0,0.9305978880202715,-14.936829365966142,-15.867427253986413,-0.3962490174599168,-8.472157347611931,-8.075908330152014,7.75,5.754935471507242,14.37070057461757
1040006860,0,1040006860,1040006860,0.0,0.0,7037.8,7037.8,1123,0,1,0,4,3,4.0,4.0,0.8733324851940463,0.6855307279631754,4.180140183289025,0.035087232713901684,0.7414604953319094,0.0,4.4714630407760385,2018.0,2026.0,5.0,3.0,-1.4469140636887747,-18.60365782322533,-17.156743759536553,-7.825190233550299,-3.1991303321918227,4.6260599013584764,7.75,6.766682910606848,32.388218257927285
1040007000,0,1040007000,1040007000,0.0,0.0,26077.6,26077.6,1124,0,0,1,5,4,10.0,10.0,0.8443883396255618,0.6096571760073596,1.1740860080362818,0.4838363644505246,0.8649047632644522,0.0,1.413980401775907,2018.0,2026.0,5.0,3.0,5.1080037457231215,-11.82759755878262,-16.93560130450574,7.6745024748881265,-8.64163681725766,-16.316139292145788,7.75,6.542420263217906,9.096956612574067
1040007010,0,1040007010,1040007010,0.0,0.0,708.7,708.7,1125,0,1,0,6,5,2.0,2.0,1.045442913022395,0.6207321411957423,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,5.596661278462706,-13.539471931633216,-19.13613321009592,,,,7.75,8.100214767565717,
1040007060,0,1040007060,1040007060,0.0,0.0,6517.1,6517.1,1126,0,0,1,7,6,2.0,2.0,1.328449546384462,0.48452122538377096,0.9455137361306178,0.6176600717470675,0.5999334330383277,0.0,3.2135393739331555,2018.0,2026.0,5.0,3.0,7.071451909608454,-10.688551437213816,-17.76000334682227,17.373291359123442,-9.324802881210394,-26.698094240333837,7.75,10.292983480542171,7.3259517405876755
1040007070,0,1040007070,1040007070,0.0,0.0,7799.8,7799.8,1127,0,1,0,8,7,4.0,4.0,1.3008984470695797,0.5228679519924236,,,0.163891933332002,0.0,3.0077550917717315,2018.0,2026.0,5.0,3.0,7.554261104815706,-10.578239436437485,-18.13250054125319,,,,7.75,10.079514319526107,
1040007260,0,1040007260,1040007260,0.0,0.0,64696.3,64696.7,1128,0,0,1,9,8,14.0,14.0,1.9165622887554647,0.2620309856709697,2.3005204129183916,0.167496377696253,0.9886712151719346,0.0,2.101271079484277,2018.0,2026.0,5.0,3.0,2.1953560846749065,-5.508725349920233,-7.70408143459514,2.070138052915355,-0.6567449680159733,-2.726883020931328,7.75,14.849750245524888,17.824702994001502
1040007270,0,1040007270,1040007270,0.0,0.0,30966.0,30966.0,1129,0,1,0,10,9,14.0,14.0,5.249995765018132,0.07524566776240134,1.902192021467438,0.2058596299574951,0.658632671555342,0.0,3.5288554108951584,2018.0,2026.0,5.0,3.0,3.1538673210521235,4.401922721032339,1.248055399980215,6.281276423131351,-0.507432244568991,-6.788708667700343,7.75,40.677585256677105,14.73840772280041
1040008100,0,1040008100,1040008100,0.0,0.0,1426.2,745374.3,1141,0,0,1,11,10,1.0,1.0,9.395095094962073,0.0653489350304536,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,5.233779424801469,48.337356336414814,43.103576911613345,,,,7.75,72.79430285761168,
1041144990,1040008100,1040008100,1040008100,29.6,29.6,619.5,513314.0,1143,0,0,1,12,11,1.0,1.0,9.395095094962073,0.0653489350304536,,,0.0,0.0,,2018.0,2026.0,5.0,3.0,5.233779424801469,48.337356336414814,43.103576911613345,,,,7.75,72.79430285761168,
1041145090,1040008100,1040008100,1040008100,29.6,29.6,230636.1,230636.1,1142,0,0,2,13,12,29.0,29.0,11.104961793922467,0.19874995257829717,10.92036109629452,0.045624327884024915,0.9796764752944829,0.0,4.252071262304446,2018.0,2026.0,5.0,3.0,-21.771880127200724,22.021525843775724,43.79340597097645,-37.749013023817305,36.51311571808852,74.26212874190583,7.75,86.04255133963198,84.61224340181656
1041139500,1041144990,1040008100,1040008100,74.1,74.1,23961.1,298252.8,1145,0,0,1,14,13,7.0,7.0,9.616821244854385,0.06072961478041685,10.181119393025226,0.00010500493086590858,0.5729562773120144,0.0,3.519901830187821,2018.0,2026.0,5.0,3.0,-2.770272820023598,33.80679785667201,36.57707067669561,-21.926086676245006,51.567263124264024,73.49334980050904,7.75,74.51226317026122,78.88451165574645
1041139430,1041144990,1040008100,1040008100,74.1,74.1,217976.4,217976.4,1144,0,0,2,15,14,31.0,31.0,15.29800102548333,0.013862144302717578,18.37609872648436,4.254224563267797e-07,0.9971727676745528,0.0,5.118816771443572,2018.0,2026.0,5.0,3.0,-44.78148078905385,42.73418147080301,87.51566225985687,-57.74541592425319,62.0285931691231,119.77400909337629,7.75,118.53071294214327,142.38017630650444
