HYBAS_ID,glacier_fraction
1030000010,0.0
1030003990,0.0
1030008100,0.0
1030008110,0.0
1030011530,0.0
1030011660,0.0
1030011670,0.0
1030012590,0.0
1030012600,0.0
1030015030,0.0
1030015850,0.0
1030015860,0.0
1030018110,0.0
1030020040,0.0
1030020050,0.0
1030021940,0.0
1030022420,0.0
1030022430,0.0
1030023300,0.0
1030023310,0.0
1030027410,0.0
1030027420,0.0
1030027430,0.0
1030029810,0.0
1030031860,0.0
1030034170,0.0
1030034260,0.0
1030034270,0.0
1030034490,0.0
1030034610,0.0
1030034900,0.0
1030035180,0.0
1030040030,0.0
1030040040,0.0
1030040050,0.0
1030040110,0.0
1030040140,0.0
1030040160,0.0
1030040180,0.0
1030040190,0.0
1030040200,0.0
1030040210,0.0
1030040220,0.0
1030040250,0.0
1030040260,0.0
1030040280,0.0
1030040300,0.0
1030040310,0.0
1030040370,0.0
8030000010,0.1178
8030005510,0.0138
8030005520,0.0015
8030008900,0.0002
8030009560,0.0012
8030009570,0.0
8030010700,0.0
8030016860,0.0
8030020760,0.0
8030022890,0.0
8030024130,0.0
8030028930,0.0
8030030130,0.0
8030030970,0.0
8030032840,0.1807
8030038870,0.0152
8030044560,0.0027
8030047650,0.1596
8030051550,0.3949
4030000010,0.0
4030000880,0.0
4030000890,0.0
4030003020,0.0
4030006940,0.0
4030007850,0.0001
4030007860,0.0
4030009880,0.001
4030009890,0.0
4030011690,0.0
4030015090,0.0
4030017020,0.001
4030017030,0.0
4030018350,0.0
4030022790,0.0028
4030024190,0.0
4030025450,0.0242
4030025460,0.0
4030029530,0.0
4030031750,0.0
4030033640,0.0523
4030033650,0.0
4030034510,0.0
4030037060,0.0
4030039450,0.0
4030045890,0.0
4030046100,0.0
4030046370,0.0
4030047490,0.0
4030047500,0.0
4030048470,0.0
4030048900,0.0
4030050210,0.0222
4030050220,0.0305
4030050230,0.0
4030050240,0.0014
4030050270,0.0068
4030050290,0.0
4030050320,0.0002
4030050390,0.0
4030050410,0.0
4030050430,0.0
4030050450,0.0
4030050470,0.009
4030050980,0.0101
5030000010,0.0
5030005830,0.0
5030006690,0.0
5030006900,0.0
5030007690,0.0
5030011800,0.0
5030014020,0.0
5030015660,0.0
5030022170,0.0
5030022200,0.0
5030022430,0.0
5030022500,0.0
5030031240,0.0
5030037270,0.0
5030038940,0.0
5030040040,0.0
5030040360,0.0
5030049720,0.0
5030050310,0.0
5030050550,0.0
5030050850,0.0
5030053140,0.0
5030054880,0.0
5030055000,0.0
5030055010,0.0
5030055130,0.0
5030055420,0.0
5030055870,0.0
5030055950,0.0
5030055960,0.0
5030067860,0.0
5030073410,0.0
5030073420,0.0
5030077640,0.0
5030079480,0.0
5030079490,0.0
5030079570,0.0
5030079730,0.0
5030081550,0.0001
5030082270,0.0032
5030084940,0.0
5030085040,0.0
5030087520,0.0
5030087540,0.0
5030087590,0.0
5030087600,0.0
5030087690,0.0
2030000010,0.0
2030003440,0.0021
2030005690,0.0035
2030006590,0.0
2030006600,0.0
2030007930,0.0
2030007940,0.0
2030008490,0.0011
2030008500,0.0
2030009230,0.0
2030012730,0.0059
2030014550,0.0
2030016230,0.0056
2030018240,0.0
2030020320,0.0008
2030024230,0.0
2030026030,0.0
2030028220,0.0
2030030090,0.0011
2030033480,0.0132
2030037990,0.0008
2030041390,0.0
2030045150,0.0
2030046500,0.0
2030047500,0.0
2030048590,0.0
2030048790,0.0
2030054200,0.0
2030056060,0.0
2030056770,0.0
2030057170,0.1148
2030059370,0.0
2030059450,0.0
2030059500,0.5453
2030059510,0.5793
2030062160,0.7879
2030062920,0.3666
2030065840,0.0
2030066850,0.0
2030068680,0.0
2030068690,0.0042
2030071190,0.0
2030073570,0.0
2030073580,0.0
2030078740,0.0
2030085510,0.0
2030085530,0.0
2030085570,0.0
2030085580,0.0
2030085720,0.0
9030000010,0.8253
9030005280,0.7824
9030010370,0.9359
9030013780,0.7738
7030000010,0.0
7030008710,0.0
7030008720,0.0
7030014250,0.0
7030014930,0.0081
7030014940,0.0697
7030021430,0.0
7030022240,0.0009
7030022250,0.0
7030024600,0.0
7030027430,0.0
7030029460,0.0
7030033480,0.0
7030034520,0.0
7030034530,0.0
7030038340,0.0
7030042040,0.0
7030046750,0.0
7030047060,0.0
7030047070,0.0
7030047840,0.0
7030049270,0.0
7030049280,0.0
7030065090,0.0
7030065760,0.0
7030069860,0.0
7030070790,0.0
7030072800,0.0
7030073620,0.0
6030000010,0.0
6030000740,0.0009
6030000750,0.0
6030004470,0.0001
6030004480,0.0
6030006540,0.0
6030007000,0.0004
6030007010,0.0
6030007950,0.0
6030007960,0.0
6030008320,0.0
6030009760,0.0
6030009770,0.0
6030011780,0.0
6030011790,0.0
6030014330,0.0
6030016970,0.0
6030016980,0.0
6030017370,0.0
6030018850,0.0113
6030018860,0.0065
6030021870,0.0687
6030026140,0.0028
6030029280,0.0065
6030032290,0.0
6030034810,0.0
6030035460,0.0
6030040020,0.0
6030040110,0.0
6030040460,0.0001
6030040470,0.0031
3030000010,0.0
3030001840,0.0
3030001850,0.0
3030003790,0.0
3030004740,0.0
3030004750,0.0
3030005240,0.0
3030008670,0.0
3030009130,0.0
3030009140,0.0
3030009320,0.0003
3030011770,0.0
3030012270,0.0
3030017830,0.0
3030020970,0.4676
3030022480,0.0
3030024180,0.0
3030024310,0.0
