time,gsfc_tws,gsfc_minus_res,csr_tws,gsfc_tws_nl,gsfc_minus_res_nl,csr_tws_nl
2002-04-01,-49.621042567293344,-34.64404530556087,-47.821369060968834,-64.48726760654564,,-41.93150775674023
2002-05-01,-54.22248789140044,-38.65304560978907,-53.05108199984063,-65.66461220336045,,-46.10445210169571
2002-06-01,,,,,,
2002-07-01,,,,,,
2002-08-01,-42.225799864183216,-28.605133436604223,-26.160161808712456,-63.55784903755095,,-31.23213567570531
2002-09-01,-24.80292882864222,-12.520256405701744,-6.1011407295352855,-41.068405378806666,,-13.40388523572955
2002-10-01,-11.123972589202815,-0.6559573128024583,14.910158701528575,-25.757489348262638,-7.878727076018195,7.8308011038873815
2002-11-01,11.495124470700766,19.964993862863746,9.55088588223452,-2.2840889750438986,8.215948777999378,1.0352953952967083
2002-12-01,27.33008044299097,36.098669793304126,-3.255334988887508,16.64959535972132,26.227516175461584,-8.024070207002316
2003-01-01,-8.920623338280794,0.722161313318925,-33.68496478086908,-20.800696831224926,-11.462697544409602,-39.01625602039276
2003-02-01,-0.4171088829559458,10.439665137779894,8.142930384965506,-7.568668372627206,2.7768686643781937,11.697946751142565
2003-03-01,7.237536592508586,18.09518006869781,-1.6199814444849503,-2.4941928800597624,8.477446279863846,5.690170695614771
2003-04-01,-29.09092341776001,-17.471478877402838,-21.303684488370354,-38.22212490182618,-26.020203046838162,-9.880725299009711
2003-05-01,-51.61748505843594,-37.74065594394981,-52.11226932449594,-61.44658875550404,-45.922214852817845,-41.88979718783826
2003-06-01,,,,,,
2003-07-01,-24.462999260284107,-13.26930168132186,-28.20603213196384,-37.81755014580107,-22.721687781275005,-30.587027986805797
2003-08-01,-44.581599874034325,-34.37884643202168,-22.54370407189709,-60.19007606201386,-44.24465437058182,-26.37052859145935
2003-09-01,-1.1467882046376636,7.646706252036292,3.892568816629709,-12.866605686133424,-0.17478268230087662,-2.9579360072893865
2003-10-01,54.05220722185049,56.82944638984167,58.474501106024526,53.87439640400119,52.86178826861187,61.03576192849175
2003-11-01,75.28703704527432,76.23080169891465,57.889079282974706,90.75044905605145,85.15005853908823,67.51303707839917
