,tws,reservoir,soil_moisture,groundwater,tws_minus_reservoir_only
2002-10-01,-29.35229779530163,-11.587529180827728,12.687103817085815,-30.451872431559718,-17.764768614473905
2002-11-01,-5.115244031355245,-4.335999464912483,40.86187727749792,-41.64112184394069,-0.7792445664427634
2002-12-01,8.358864328708666,-3.5963686564267006,33.72871523983066,-21.77348225469528,11.955232985135368
2003-01-01,-33.4631791639137,-1.8333810725719946,22.461973436200797,-54.091771527542505,-31.62979809134171
2003-02-01,-8.548115979924571,-3.345294504311196,15.89485690798796,-21.097678383601338,-5.202821475613376
2003-03-01,-2.23792579495423,-4.353681108298313,19.944056634905106,-17.828301321561028,2.1157553133440845
2003-04-01,-20.570625043530224,-3.088807023298319,6.590092637388965,-24.071910657620865,-17.481818020231906
2003-05-01,-41.78354799146915,-4.410784364200868,0.8045384885429172,-38.177302115811194,-37.37276362726828
2003-07-01,-14.409398048566015,-3.421657813722977,18.169853681513647,-29.15759391635668,-10.987740234843034
2003-08-01,-36.91621715076953,-5.3804233800271986,12.698049383212636,-44.233843153954965,-31.535793770742334
2003-09-01,-2.2352920878111995,-4.111416995058108,53.05852039183114,-51.18239548458421,1.8761249072469068
2003-10-01,50.27958795696219,7.303841226806032,83.05590453806501,-40.08015780790885,42.97574673015617
2003-11-01,87.91929399974013,11.764428805094008,62.66702378178303,13.487841412863077,76.15486519464612
2003-12-01,58.628993868302786,13.130299271181041,38.78463903471347,6.714055562408272,45.49869459712173
2004-01-01,38.71390930130985,14.716462035837438,29.03927918611964,-5.04183192064724,23.997447265472406
2004-02-01,17.796976064211115,13.110722068733935,30.61727118176406,-25.931017186286887,4.686253995477176
2004-03-01,39.12624033457787,12.791651009088385,25.32685564546312,1.0077336800263748,26.334589325489492
2004-04-01,56.712655239600515,18.562531982658,45.939290306883585,-7.789167049941077,38.15012325694252
2004-05-01,64.14899951083801,17.57793573359179,34.811896002590004,11.759167774656218,46.571063777246216
2004-06-01,50.72380048780297,15.998002738794519,33.88178664318556,0.8440111058228783,34.72579774900844
2004-07-01,15.855951702827943,12.817952869752308,16.685838302622713,-13.647839469547076,3.03799883307564
2004-08-01,17.339442904130507,10.702272357138888,33.20282620532196,-26.565655658330336,6.637170546991627
2004-09-01,14.63773833087679,13.876114802540618,42.441771362286616,-41.680147833950436,0.7616235283361721
2004-10-01,22.464235438661625,12.368832843521094,22.976208183645408,-12.880805588504879,10.09540259514053
2004-11-01,21.924549195926677,12.651181422603912,14.701520304032655,-5.428152530709892,9.273367773322763
2004-12-01,32.84482376291521,12.877639285604586,12.036700371896675,7.930484105413958,19.967184477310635
2005-01-01,18.328599933811077,13.014852467031085,3.1909984272416105,2.122749039538383,5.3137474667799935
