lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,leakage_trend_cm_yr,leakage_2sigma_cm,lat_min,lat_max,lon_min,lon_max
29.0,259.6815287,1.0,1.1464968,12406.28,80.0,1814,-100.3184713,0.2744905393903929,1.0554517370726528,28.5,29.5,-100.8917197,-99.7452229
29.0,260.8280255,1.0,1.1464968,12406.28,80.0,1815,-99.17197449999998,0.6000425752446366,1.416078989811343,28.5,29.5,-99.74522289999997,-98.59872609999998
29.0,261.9745223,1.0,1.1464968,12406.28,80.0,1816,-98.02547770000001,0.7944675293555894,1.8683086699552274,28.5,29.5,-98.59872610000001,-97.45222930000001
28.0,260.6309148,1.0,1.1356467,12407.1,80.0,1819,-99.36908519999997,0.47261006745827094,1.2474113175277706,27.5,28.5,-99.93690854999997,-98.80126184999997
28.0,261.7665615,1.0,1.1356467,12407.1,80.0,1820,-98.23343849999998,0.6691299058546029,1.5521103183749971,27.5,28.5,-98.80126184999997,-97.66561514999998
28.0,262.9022082,1.0,1.1356467,12407.1,80.0,1821,-97.09779179999998,0.6742352629381725,1.8486365853272864,27.5,28.5,-97.66561514999998,-96.52996844999998
27.0,261.5625,1.0,1.125,12404.16,80.0,1822,-98.4375,0.22832907549420592,1.572510650587497,26.5,27.5,-99.0,-97.875
27.0,262.6875,1.0,1.125,12404.16,80.0,1823,-97.3125,0.2806036942122577,1.862870742843818,26.5,27.5,-97.875,-96.75
26.0,262.4767802,1.0,1.1145511,12397.52,80.0,1824,-97.52321979999999,-0.21871830593319794,1.9935384815064148,25.5,26.5,-98.08049534999999,-96.96594424999999
29.0,257.388535,1.0,1.1464968,12406.28,80.0,3139,-102.61146500000001,-0.19398990889015955,1.0119223905310542,28.5,29.5,-103.1847134,-102.03821660000001
29.0,258.5350318,1.0,1.1464968,12406.28,80.0,3140,-101.46496819999999,-0.03721472452858043,0.9497212788680592,28.5,29.5,-102.03821659999998,-100.89171979999999
28.0,258.3596215,1.0,1.1356467,12407.1,80.0,3144,-101.6403785,-0.03599419454066996,0.9685624638583702,27.5,28.5,-102.20820185,-101.07255515
