,tws,reservoir,soil_moisture,residual,tws_minus_reservoir_only,csr_tws,csr_residual
2016-01-01,50.26591417374779,19.754494095929147,3.7583587336855127,26.753061344133133,30.511420077818645,30.67011113515983,7.157258305545168
2016-02-01,52.009128280590815,20.466060196765202,-1.309356413772342,32.85242449759796,31.543068083825624,37.62127785156283,18.464574068569974
2016-03-01,54.34987803615091,20.09538388130039,10.09770339408953,24.156790760760995,34.25449415485052,43.39957231545077,13.206485040060851
2016-04-01,,17.54736768183011,5.617630337718185,,,,
2016-05-01,30.96246639814826,17.207797747527415,9.79546374221335,3.9592049084074943,13.754668650620845,30.7305791012029,3.727317611462131
2016-06-01,24.556059173887213,17.80932665468393,13.233034598271527,-6.48630207906824,6.746732519203287,33.556139255625936,2.5137780026704846
2016-07-01,-2.784972104069562,12.850023230359746,-12.809488331109657,-2.825507003319652,-15.634995334429307,16.406318232499462,16.365783333249375
2016-08-01,46.71468039842833,9.931099541498334,13.059062260387487,23.72451859654251,36.783580856929994,37.1371589435362,14.146997141650374
2016-09-01,,8.789573919634705,2.1021196376689013,,,,
2016-10-01,,8.457732495109699,1.3858509520318814,,,,
2016-11-01,20.84418166439535,10.096236826761452,16.501593433446736,-5.75364859581284,10.747944837633897,22.441236230250123,-4.156594029958063
2016-12-01,72.14782538839253,11.739865568521974,15.552848606830443,44.85511121304012,60.40795981987056,31.542867857082385,4.250153681729964
2017-01-01,33.11266475687225,8.246853280909615,5.494109003884482,19.371702472078155,24.865811475962637,43.25560202408779,29.514639739293692
2017-02-01,,9.670990504094261,3.325128885222199,,,,
2017-03-01,7.707190101982463,10.714664839306925,19.450576346200766,-22.458051083525227,-3.007474737324461,34.901356289399594,4.736115103891901
2017-04-01,36.12026580013726,11.158521786270764,12.449418855427751,12.512325158438742,24.96174401386649,16.756186090489116,-6.851754551209405
2017-05-01,14.535355100731792,11.536865017861773,-0.9925315592651233,3.99102164213514,2.9984900828700165,24.113138050316234,13.568804591719585
2017-06-01,-14.603020978746601,11.17437912647578,-7.1379294119851,-18.63947069323728,-25.777400105222377,-11.851306356078725,-15.887756070569402
2017-07-01,,6.826009529066436,-9.160902929766635,,,,
2017-08-01,,4.84985047707095,-5.020586328515433,,,,
2017-09-01,,1.54898768097155,-17.221845039637326,,,,
2017-10-01,,12.76397465256387,26.83091900818066,,,,
2017-11-01,,11.022006162115538,4.886815551015052,,,,
2017-12-01,,11.54552416435466,10.515498214573189,,,,
2018-01-01,,9.628662120528718,14.876785152593303,,,,
2018-02-01,,10.977066085599485,17.383404170849968,,,,
2018-03-01,,10.63977864309388,8.912290981419567,,,,
2018-04-01,,5.8162608713897415,4.963707234538688,,,,
2018-05-01,,5.785172713468071,13.148200134613559,,,,
2018-06-01,-5.664805424887389,2.987183345137906,0.10432009959482251,-8.756308869620117,-8.651988770025294,3.240831720545209,0.1493282758124801
2018-07-01,8.811648719949432,1.592070523925064,1.229033692786904,5.990544503237465,7.2195781960243695,28.465339621303585,25.644235404591615
2018-08-01,,-1.088405762696555,-9.316303687735484,,,,
2018-09-01,,-0.6875722762351507,23.421589282820968,,,,
2018-10-01,65.11571927733553,7.635614434521899,35.85148618977366,21.62861865303997,57.48010484281363,45.41698198367696,1.9298813593814126
2018-11-01,54.411959296006835,8.881790308500566,22.546442609070436,22.98372637843583,45.530168987506265,39.63411950372283,8.205886586151816
2018-12-01,42.43818399981662,10.422922705164797,16.80044692564498,15.214814369006849,32.01526129465182,42.27746913888435,15.054099508074572
2019-01-01,47.106329566239665,7.251325253074098,12.96379601341359,26.89120829975198,39.855004313165566,45.444635083602755,25.229513817115066
2019-02-01,65.64489794024635,7.718146022736803,10.534610204203055,47.3921417133065,57.92675191750955,51.45879483292459,33.20603860598474
2019-03-01,54.26029537615737,7.904552046604792,8.183091444212533,38.172651885340045,46.35574332955258,37.19030668054094,21.102663189723614
2019-04-01,22.331424083200808,9.352777410494717,5.426944193128038,7.551702479578055,12.978646672706095,30.77655002056031,15.996828416937554
2019-05-01,19.92278217587193,10.525441499970562,-3.0937254700702628,12.491066145971633,9.397340675901368,28.91014971411005,21.478433684209747
2019-06-01,32.165173928322915,8.277192697007916,-12.246691624471643,36.13467285578664,23.887981231314996,13.802490611531816,17.771989538995545
2019-07-01,17.597748142516615,4.833816981832039,-16.27745508335214,29.041386244036715,12.763931160684574,6.2489511380153395,17.692589239535444
2019-08-01,-14.946721698684431,1.5081694356992483,-18.762845961059565,2.3079548266758847,-16.45489113438368,-12.987061914164276,4.2676146111960405
2019-09-01,10.22735832646763,8.073675099359454,12.80867453734645,-10.654991310238273,2.153683227108176,3.1074738938009387,-17.774875742904968
2019-10-01,-14.595376847578148,2.720578740835586,-11.633629189781992,-5.682326398631742,-17.315955588413736,2.0279499882366157,10.941000437183023
2019-11-01,-0.08961497600092261,0.8740874434381922,-4.513889202962043,3.550186783522929,-0.9637024194391144,-3.8103477685194975,-0.17054600899564587
2019-12-01,13.359974614554046,0.5500014461900469,-13.31621279434984,26.12618596271384,12.809973168364,10.858303429874894,23.624514778034687
2020-01-01,3.2088569251813515,-2.5677737639005125,-7.257748586632187,13.03437927571405,5.776630689081864,-25.010310683656247,-15.18478833312355
2020-02-01,16.998497459067742,-4.065720041659588,-9.962055049913603,31.026272550640936,21.064217500727334,11.54294864146931,25.570723733042502
2020-03-01,-9.342647401268167,-4.108642181390868,-10.594770941735645,5.360765721858345,-5.234005219877299,-6.2673135835221485,8.436099539604363
2020-04-01,-4.594831789133428,-4.991799646590431,-2.5993098538653503,2.9962777113223527,0.39696785745700414,-41.79931658342543,-34.20820708296965
2020-05-01,8.920880534165764,-3.3317422663733947,-2.993439327697468,15.246062128236625,12.252622800539157,7.050725977794034,13.375907571864897
2020-06-01,39.426715240602256,-0.8243612532514267,2.7549155373145067,37.49616095653917,40.251076493853674,5.95888999079586,4.02833570673278
2020-07-01,7.042018883123199,-3.816692614544639,10.016069588125161,0.8426419095426784,10.858711497667837,7.670773865429029,1.471396891848509
2020-08-01,17.624861266450885,8.763691332261256,36.99449968281964,-28.133329748630008,8.861169934189626,26.346213350536146,-19.411977664544743
2020-09-01,14.459075618460314,6.559265919507192,17.63169337897374,-9.731883680020617,7.8998096989531215,35.302718525905476,11.111759227424546
2020-10-01,14.310218249494696,5.699206570152535,-9.638747812864038,18.2497594922062,8.61101167934216,17.028454713988054,20.96799595669956
2020-11-01,32.25016184833842,4.342718743093553,-20.26764515084367,48.175088256088536,27.907443105244866,-3.7751228293244723,12.149803578425646
2020-12-01,4.637478483520234,3.0694320302974756,-26.30976429485829,27.877810748081046,1.5680464532227592,-48.02179062266324,-24.781458358102423
2021-01-01,-12.471721912311116,-0.2375513186562892,-19.539911284444052,7.305740690789228,-12.234170593654827,-48.666495069342915,-28.88903246624258
2021-02-01,-30.59399416022613,-7.28509674622962,-16.920615356183614,-6.388282057812896,-23.308897413996508,-35.47437471131822,-11.268662608904986
2021-03-01,-6.843072708948526,-8.47969422664295,-20.089658773757385,21.726280291451808,1.6366215176944237,-52.49882927865124,-23.929476278250903
2021-04-01,13.586433065015887,-8.55627634597654,-20.211097989034606,42.35380740002703,22.142709410992424,4.7032577553398,33.47063209035094
2021-05-01,27.88133128387407,-5.741957850483148,-2.8036441084251944,36.42693324278241,33.623289134357215,3.521802763778914,12.067404722687254
2021-06-01,29.948610823141436,-3.603629036775289,10.041349880003096,23.51088997991363,33.552239859916725,-2.0952452881811308,-8.532966131408939
2021-07-01,34.2175128560719,-3.9035483013460754,29.151060968858175,8.970000188559794,38.12106115741797,19.41763281277369,-5.829879854738414
2021-08-01,43.09237030869902,-3.2964785595263257,15.99480311303392,30.39404575519142,46.38884886822534,38.1153347000309,25.417010146523303
2021-09-01,30.438877756735746,-7.842742609634407,-18.76197975793178,57.04360012430194,38.28162036637015,-31.94593147078084,-5.341209103214654
2021-10-01,29.53003374467395,-12.37168590120013,-16.174598626669486,58.07631827254357,41.90171964587408,11.99369451310851,40.539979040978125
2021-11-01,-1.3124025144844549,-11.870441001690423,-5.869441142643799,16.42747962984977,10.558038487205971,3.6078138585136252,21.347696002847847
2021-12-01,-17.781284885578696,-12.14382578538508,-7.5444704789209425,1.9070113787273273,-5.637459100193617,9.06160380482067,28.74990006912669
2022-01-01,-16.340398105352133,-14.479318076437231,-7.496693873838314,5.635613844923408,-1.8610800289149052,-8.136694581512948,13.839317368762597
2022-02-01,-11.834689288450042,-13.208984539057319,1.337745405331175,0.03654984527610505,1.3742952506072792,-14.939535356501658,-3.0682962227755124
2022-03-01,-9.810208473683607,-12.967867990769335,-7.878080147677522,11.035739664763252,3.1576595170857273,-51.08484100120965,-30.23889286276278
2022-04-01,-8.633158270426966,-11.790350319919245,-14.065661975047897,17.222854024540176,3.157192049492279,-6.013801764674785,19.842210530292355
2022-05-01,-18.98158251990973,-9.452371882366778,-10.495752983800324,0.9665423462573726,-9.529210637542949,-1.9780524522767955,17.970072413890307
2022-06-01,-20.992588731796562,-10.651229970828721,-25.017306511040836,14.675947750072993,-10.341358760967843,-6.092420731880566,29.576115749988993
2022-07-01,-31.34883162206482,-14.679621840888961,-29.26251132664498,12.593301545469119,-16.66920978117586,-32.180023992246184,11.762109175287758
2022-08-01,-5.56991571622736,-16.125705988047336,-21.331400524933063,31.88719079675304,10.555790271819976,-53.867341148424146,-16.410234635443743
2022-09-01,37.52558265574082,-6.635830702302882,-0.5747030039706192,44.73611636201433,44.16141335804371,30.33092111400179,37.54145482027529
2022-10-01,-12.522329729751071,-9.271464098203076,-9.931991604727234,6.6811259731792365,-3.2508656315479962,-58.382503246052224,-39.17904754312191
2022-11-01,-24.263873701344764,-9.77887107371777,-3.970541583262132,-10.514461044364866,-14.485002627626997,-3.254422590055573,10.494990066924327
2022-12-01,-12.042828630200468,-13.144532677348533,-2.8318871464842688,3.9335911936323362,1.101704047148067,-40.90509427807435,-24.92867445424155
2023-01-01,-26.976253295777536,-15.460302856135552,-13.847527583912122,2.331577144270139,-11.51595043964198,-47.74593344079567,-18.438103000747994
2023-02-01,-9.741490295298805,-15.008356305918749,-15.04309903520374,20.30996504582368,5.266866010619941,-0.757014865820813,29.294440475301677
2023-03-01,-7.945532448374449,-16.160975937990596,-13.793577621035471,22.009021110651624,8.215443489616145,-4.011446539217879,25.94310701980819
2023-04-01,-4.957378249056372,-12.923029721594029,16.20990329357461,-8.2573980839002,7.902831514815286,6.188421078233624,2.93290723583433
2023-05-01,-7.503268719176304,-6.465141873744604,20.782278131554047,-21.820404976985746,-1.0381268454316994,4.641209660581551,-9.675926597227893
2023-06-01,-18.77915276186214,-4.508364974935412,1.4408611888849256,-15.711648975811656,-14.270787786926727,-5.245273385321822,-2.1777695992713344
2023-07-01,-43.35405435871503,-8.846004954332205,-20.85063590918472,-13.657413495198098,-34.508049404382824,-42.984612558935865,-13.287971695418937
2023-08-01,-60.30495043649874,-11.750751967456612,-22.704011847324576,-25.85018662171755,-48.554198469042134,-60.29984743184229,-25.8450836170611
2023-09-01,-71.78341506896973,-15.805264914184745,-34.793839273751296,-21.184310881033692,-55.978150154784984,-49.37026844541848,1.2288357425175533
2023-10-01,-49.72866437291832,-19.688864850111106,-5.52238936993853,-24.51741015286868,-30.039799522807215,-43.23701193586926,-18.02575771581963
2023-11-01,-46.53857710581869,-18.64585831456995,24.706331278264695,-52.599050069513424,-27.892718791248736,-6.905398038713228,-12.965871002407976
2023-12-01,-42.04289887502707,-17.539267232417323,32.94437528149137,-57.448006924101115,-24.503631642609747,-4.197959031837997,-19.60306708091204
2024-01-01,-39.42055405536099,-18.78907648082634,19.430797966419984,-40.06227554095464,-20.631477574534657,-5.887342788888538,-6.529064274482181
2024-02-01,-28.50489551795561,-15.975989137109444,19.754200222059396,-32.28310660290556,-12.528906380846172,0.5774197560576932,-3.2007913288922625
2024-03-01,-36.63527092072117,-14.197883674302958,15.691340437978068,-38.12872768439628,-22.43738724641821,9.726039696679893,8.23258293300478
2024-04-01,-50.265356210810396,-14.157673172824733,1.0131885383268389,-37.12087157631251,-36.107683037985666,-24.74577371835012,-11.601289083852224
2024-05-01,-28.810339959170996,-16.227760287941724,-11.40256802080214,-1.1800116504271339,-12.582579671229272,-67.49236058724789,-39.86203227850403
2024-06-01,-38.124920872433805,-17.119218477768047,24.575817297826518,-45.58151969249228,-21.005702394665757,-39.85796183253864,-47.3145606525971
2024-07-01,6.746295546141893,7.79166704034763,49.67418866629702,-50.71956016050275,-1.0453714942057362,24.87532513054558,-32.59053057609907
2024-08-01,-7.123170177334323,9.518510305857387,21.4930906008594,-38.13477108405111,-16.641680483191713,32.37612109637834,1.3645201896615564
2024-09-01,-6.77658512836274,8.852705835270593,22.53522411397592,-38.16451507760925,-15.629290963633334,51.36966363422197,19.98173368497547
2024-10-01,-16.038627386471607,8.332966744068594,2.053183819775236,-26.424777950315438,-24.371594130540203,35.62379276422254,25.23764220037871
2024-11-01,-1.860794677719388,10.021314737821177,-10.588294668902838,-1.2938147466377257,-11.882109415540565,-5.609750643624638,-5.042770712542975
2024-12-01,-7.226284460557118,10.423091582425288,-7.1260777124025285,-10.523298330579877,-17.649376042982407,14.574126870997404,11.277113000974648
2025-01-01,-38.48483805323929,6.652687745514345,-8.381966355029773,-36.75555944372386,-45.137525798753636,16.07642832134594,17.80570693086137
2025-02-01,-53.97745441797433,6.711883960778962,-9.099963192586339,-51.58937518616695,-60.68933837875329,-50.02951614837374,-47.64143691656636
2025-03-01,-45.74063156129483,6.56068460079072,-9.978916435633169,-42.32239972645239,-52.30131616208555,-11.35484457947029,-7.936612744627843
2025-04-01,-3.5873984289267904,8.544201456919641,-8.804721591257511,-3.326878294588922,-12.131599885846434,14.134477121827492,14.394997256165361
2025-05-01,-46.92762429453479,-3.836302817918175,-11.9442799736005,-5.024693313010794,-5.537594282503232,-29.497192228258996,0.02523814818266082
2025-06-01,-27.93207039622731,-3.541278109746632,-7.74837022497207,-0.9817763344256439,-1.6832543799652524,8.583856015502045,5.941977320139051
2025-07-01,3.072633937046378,-2.6477195944190344,-1.7093581274830445,0.02959026169728608,1.20732547296623,-27.91970424938463,-5.094613915811828
2025-08-01,-19.487153944833373,-2.3099788146603415,-10.406306863009986,-1.5568811453450924,-2.350659725128965,-6.8205775960508905,-0.09343465532022936
2025-09-01,-14.090894160072049,-2.852797952386308,-7.146933757767001,0.10553076678809623,-1.2592384849888696,-38.794577251730864,-6.593544897650842
2025-10-01,-16.07097293478503,-4.278058787737873,-13.220082841516193,1.6146805874115069,-0.8244973990730811,-10.4713587813112,2.781554613358459
2025-11-01,-33.441039833372386,-4.942983831752341,-23.431369705098614,1.0209733472563698,-2.350681571116947,-42.32812772224916,-1.0184649829095578
2025-12-01,-53.49016563492009,-4.923211801803309,-18.684755261532377,-1.0797237010443614,-3.9643915422530807,-15.18952716908411,0.3903171398973904
