time,gsfc_tws,gsfc_minus_res,reservoir,chirps_cum_cm,csr_tws,csr_minus_res,gsfc_tws_paired,csr_tws_paired
2002-04-01,-64.48726760654564,,,-26.95247182151213,-41.93150775674023,,,
2002-05-01,-65.66461220336045,,,-27.49786338447502,-46.10445210169571,,,
2002-06-01,,,,-26.635990183959724,,,,
2002-07-01,,,,-20.41681908530651,,,,
2002-08-01,-63.55784903755095,,,-20.47033085197803,-31.23213567570531,,,
2002-09-01,-41.068405378806666,,,-8.462003224218236,-13.40388523572955,,,
2002-10-01,-25.757489348262638,-7.878727076018195,-17.878762272244437,-2.7917123465496005,7.8308011038873815,25.709563376131822,-25.757489348262638,7.8308011038873815
2002-11-01,-2.2840889750438986,8.215948777999378,-10.500037753043273,-4.741906058212709,1.0352953952967083,11.535333148339982,-2.2840889750438986,1.0352953952967083
2002-12-01,16.64959535972132,26.227516175461584,-9.577920815740262,-8.212976112422947,-8.024070207002316,1.553850608737948,16.64959535972132,-8.024070207002316
2003-01-01,-20.800696831224926,-11.462697544409602,-9.337999286815322,-10.881654626273125,-39.01625602039276,-29.678256733577438,-20.800696831224926,-39.01625602039276
2003-02-01,-7.568668372627206,2.7768686643781937,-10.345537037005396,-13.352618241997353,11.697946751142565,22.04348378814796,-7.568668372627206,11.697946751142565
2003-03-01,-2.4941928800597624,8.477446279863846,-10.971639159923612,-16.294696118583943,5.690170695614771,16.661809855538383,-2.4941928800597624,5.690170695614771
2003-04-01,-38.22212490182618,-26.020203046838162,-12.201921854988024,-18.09684044235732,-9.880725299009711,2.3211965559783128,-38.22212490182618,-9.880725299009711
2003-05-01,-61.44658875550404,-45.922214852817845,-15.524373902686195,-16.908583962577406,-41.88979718783826,-26.365423285152087,-61.44658875550404,-41.88979718783826
2003-06-01,,,,-14.39992763276629,,,,
2003-07-01,-37.81755014580107,-22.721687781275005,-15.095862364526077,-12.924946119193475,-30.587027986805797,-15.491165622279714,-37.81755014580107,-30.587027986805797
2003-08-01,-60.19007606201386,-44.24465437058182,-15.94542169143204,-8.521475358036055,-26.37052859145935,-10.425106900027314,-60.19007606201386,-26.37052859145935
2003-09-01,-12.866605686133424,-0.17478268230087662,-12.69182300383255,6.9802521508950734,-2.9579360072893865,9.733886996543164,-12.866605686133424,-2.9579360072893865
2003-10-01,53.87439640400119,52.86178826861187,1.012608135389323,12.766242619936918,61.03576192849175,60.02315379310243,53.87439640400119,61.03576192849175
2003-11-01,90.75044905605145,85.15005853908823,5.600390516963214,9.731560232212674,67.51303707839917,61.91264656143595,90.75044905605145,67.51303707839917
2003-12-01,66.91972489931543,59.770977787447954,7.148747111867479,6.242478579494961,30.2503569251596,23.101609813292125,66.91972489931543,30.2503569251596
2004-01-01,51.37639163399862,44.164547812404514,7.211843821594108,3.6245684972162278,23.88642898066315,16.67458515906904,51.37639163399862,23.88642898066315
2004-02-01,18.776423671508486,12.665944135468745,6.110479536039735,0.8563868739184133,17.522222992965382,11.41174345692564,18.776423671508486,17.522222992965382
2004-03-01,38.86997324947236,32.69628029200926,6.173692957463087,0.8256433299628332,22.970103937561134,16.79641098009805,38.86997324947236,22.970103937561134
2004-04-01,39.061155381304566,29.611738230336258,9.449417150968294,1.2613663282370133,17.900164510034877,8.450747359066582,39.061155381304566,17.900164510034877
2004-05-01,44.48595874680311,38.02161255169665,6.4643461951064625,0.9058235467816301,7.495309788987429,1.0309635938809658,44.48595874680311,7.495309788987429
2004-06-01,14.427829581399095,12.445831539795918,1.9819980416031777,4.036289613922957,12.512073484399997,10.530075442796816,14.427829581399095,12.512073484399997
2004-07-01,-7.552200394407118,-8.695948713356325,1.143748318949209,5.015451605577185,0.7017567152507721,-0.44199160369843715,-7.552200394407118,0.7017567152507721
2004-08-01,-5.93441600711381,-6.071690052847857,0.13727404573404597,8.099478041445572,-1.456105453639431,-1.593379499373477,-5.93441600711381,-1.456105453639431
