time,tws_mm,tws_minus_res_mm,reservoir_mm,tws_mm_nlweighted,tws_minus_res_mm_nlweighted,reservoir_mm_nlweighted,tws_mm_paired,tws_mm_nlweighted_paired
2002-04-01,-49.62104256729334,-34.64404530556087,-12.14631609144041,-64.48726760654564,,-13.792731412766617,-49.62104256729334,
2002-05-01,-54.22248789140042,-38.65304560978907,-14.2495082634892,-65.66461220336043,,-15.066731807651143,-54.22248789140042,
2002-06-01,,,-14.760707445287641,,,-15.574946889825144,,
2002-07-01,,,-13.812547648531185,,,-15.083557646252366,,
2002-08-01,-42.2257998641832,-28.605133436604223,-13.50344006146937,-63.55784903755093,,-14.700484514890901,-42.2257998641832,
2002-09-01,-24.802928828642212,-12.520256405701744,-12.733871206538602,-41.06840537880667,,-13.934707858292322,-24.802928828642212,
2002-10-01,-11.123972589202813,-0.6559573128024583,-11.54772235829238,-25.757489348262627,-7.878727076018196,-17.878762272244433,-11.123972589202813,-25.757489348262627
2002-11-01,11.495124470700766,19.964993862863746,-9.166236757728548,-2.2840889750438973,8.21594877799938,-10.500037753043276,11.495124470700766,-2.2840889750438973
2002-12-01,27.330080442990962,36.098669793304126,-9.090898584673258,16.64959535972132,26.22751617546158,-9.577920815740262,27.330080442990962,16.64959535972132
2003-01-01,-8.920623338280791,0.722161313318925,-9.332869521498823,-20.800696831224922,-11.4626975444096,-9.33799928681532,-8.920623338280791,-20.800696831224922
2003-02-01,-0.41710888295594706,10.439665137779894,-9.395760049261279,-7.568668372627205,2.7768686643781924,-10.345537037005396,-0.41710888295594706,-7.568668372627205
2003-03-01,7.237536592508581,18.09518006869781,-9.83858311936468,-2.4941928800597615,8.477446279863848,-10.97163915992361,7.237536592508581,-2.4941928800597615
2003-04-01,-29.090923417760003,-17.471478877402838,-10.690547310756388,-38.222124901826184,-26.02020304683816,-12.201921854988026,-29.090923417760003,-38.222124901826184
2003-05-01,-51.61748505843592,-37.74065594394981,-11.766930528241192,-61.44658875550403,-45.922214852817845,-15.524373902686193,-51.61748505843592,-61.44658875550403
2003-06-01,,,-13.24137595679827,,,-16.149808511313985,,
