month,dSdt_mm_per_yr,dSdt_mm_per_yr_13mo
2002-09-01,226.33739961495993,54.76150065670479
2002-10-01,232.22904207335006,-0.14699628588782332
2002-11-01,253.9211096654285,0.049765120283067024
2002-12-01,-110.87198392573967,0.5179239291797998
2003-01-01,-145.01181685639835,13.833497507309511
2003-02-01,113.3296706468318,69.59607294483152
2003-03-01,-186.60291662149876,111.96778643152547
2003-04-01,-384.5064748840361,100.56580012181674
2003-05-01,1.6238563696501898,61.42780506084187
2003-07-01,4.731353209250395,20.424910454763143
2003-08-01,146.98923328860664,23.861028153679325
2003-09-01,682.9844027575737,44.67549419218066
2003-10-01,620.4283482718529,38.54450906411422
2003-11-01,78.11157758874639,41.5526498781066
2003-12-01,-276.5648937193231,47.16167552955574
2004-01-01,-279.1165202135951,37.65806211246493
2004-02-01,-66.20245383982927,42.532062023940405
2004-03-01,125.57624164411891,45.961151551362185
2004-04-01,33.6268639819682,2.9808561873677206
2004-05-01,-147.49708603959786,-37.80027071723886
2004-06-01,-311.58914141519733,-40.93688410085096
2004-07-01,-121.92311805253014,-17.727649738134353
2004-08-01,68.09335205843152,6.644917840481412
2004-09-01,191.56739714508973,-2.885862730038829
2004-10-01,124.24056302564563,-40.2504346781445
2004-11-01,90.27369851196727,-68.06515959244037
2004-12-01,37.33560360178909,-62.52813981326325
2005-01-01,25.155152995992832,-19.541802834561842
2005-02-01,37.72685830840986,-2.0673767666635703
2005-03-01,-190.1026012565924,-14.884643819285346
2005-04-01,-360.1631936812549,-36.175245833112484
2005-05-01,-327.964559903878,-52.052661766320746
2005-06-01,-75.51582891029543,-52.909902441675634
2005-07-01,247.23323930792105,-58.04443909602729
2005-08-01,105.24442083014739,-77.60542416516647
2005-09-01,-98.53111962565154,-91.27275383601437
2005-10-01,-85.21042903466306,-84.1731139345596
2005-11-01,-82.1658441060619,-60.70881245593296
2005-12-01,79.12956973235376,-24.444629423344356
2006-01-01,-29.413372904782285,-4.857779876691283
2006-02-01,-229.13765290281657,-16.153976432198203
2006-03-01,-139.94842741261266,-12.925532333981959
2006-04-01,-97.80728253768052,5.602807372620182
2006-05-01,-55.12727445910859,18.303175818930434
2006-06-01,143.4698195197738,41.717844348078366
2006-07-01,179.11321519619452,39.573724661160185
2006-08-01,100.38268408633107,26.191999070150437
2006-09-01,147.21419410695856,32.37638302604546
2006-10-01,142.33729656017633,26.404547088291757
2006-11-01,79.8943607673702,27.961526399884495
2006-12-01,222.2248467728612,44.55450929743354
2007-01-01,51.25601380241744,44.6149973525136
2007-02-01,-203.375805587909,48.12034123432833
2007-03-01,-148.74066147618134,49.104385609509094
2007-04-01,-217.5822946034108,32.74009559386329
2007-05-01,-77.56655148697492,9.053242262090512
2007-06-01,160.58150320902894,-0.9296011314559306
2007-07-01,144.25616423581465,-14.612000244315093
2007-08-01,224.68268565978602,-29.270719376900477
2007-09-01,113.17526096368104,-21.066237329693532
2007-10-01,-65.52157609643697,-14.432349187865594
2007-11-01,-165.59179675286973,-13.068837319124615
2007-12-01,-49.88260334873358,4.343225671319998
2008-01-01,44.3536583056921,23.84220680837822
2008-02-01,-139.30733492119253,52.28685166370131
2008-03-01,-96.71753897421873,72.29586818687639
2008-04-01,-62.500115632418186,45.089653940461396
2008-05-01,-199.85664030977807,31.40731574131437
2008-06-01,148.79026738880506,45.761284367971825
2008-07-01,414.0682579907858,37.95015671303666
2008-08-01,514.0365473550148,16.630356501338277
2008-09-01,484.79990046106195,13.434229120235521
2008-10-01,-240.5055242397137,12.885596322860524
2008-11-01,-243.39197268534835,13.516533101322212
2008-12-01,21.00979539367713,20.451841050673632
2009-01-01,-151.4272628628907,-7.576050704183941
2009-02-01,-232.80374444638687,-31.78700100979478
2009-03-01,-180.85699087552837,-38.5154744419739
2009-04-01,-103.84976534009368,-68.22600562149643
2009-05-01,-54.297937512416254,-43.20694339191578
2009-06-01,-109.69763696820962,-8.574014573321628
2009-07-01,-215.57232542434335,-6.898132107545981
2009-08-01,99.32590401784495,-12.21300298401291
2009-09-01,426.56639273668617,-16.101964306337905
2009-10-01,98.56299512726913,-4.274190834972588
