mascon,year,all_field_km2,ag_km2,crop_km2,irr_km2,irr_crop_km2,mascon_km2,all_field_frac_pct,ag_frac_pct,crop_frac_pct,irr_frac_pct,irr_crop_frac_pct
0,2014,81.37302777363233,76.13674145487981,74.798525209234,76.13674145487981,74.798525209234,12379.21,0.6573361932920787,0.6150371587110955,0.6042269677082303,0.6150371587110955,0.6042269677082303
0,2016,93.58988276829456,88.0067873326694,86.31110562510386,88.0067873326694,86.31110562510386,12379.21,0.7560246798325141,0.7109241004286171,0.6972262820091417,0.7109241004286171,0.6972262820091417
0,2018,94.3696867173852,88.7818281993718,84.9970062693574,88.7818281993718,84.9970062693574,12379.21,0.7623239828501595,0.7171849269813809,0.6866109086876901,0.7171849269813809,0.6866109086876901
0,2019,97.50317548662687,90.58611379818157,86.03172655035044,89.94941430833612,85.39502706050502,12379.21,0.7876364928507302,0.7317600541406244,0.6949694411061001,0.7266167575179362,0.6898261444834123
0,2020,99.64257891737316,92.76509217932818,86.87337965068306,92.76509217932818,86.87337965068306,12379.21,0.804918721932766,0.7493619720428703,0.7017683652727683,0.7493619720428703,0.7017683652727683
0,2021,99.89687712815605,93.2344253376274,89.18065565893366,93.2344253376274,89.18065565893366,12379.21,0.8069729581140965,0.7531532734126605,0.7204066790928797,0.7531532734126605,0.7204066790928797
0,2022,99.13450199723822,93.24419703394969,89.6180123480043,87.53670466031429,83.9105199743689,12379.21,0.8008144461337858,0.7532322097609597,0.723939672628579,0.707126744439381,0.6778342073070002
0,2023,100.2072863248097,94.73453542220554,91.41350929485768,89.32747098320216,86.00644485585428,12379.21,0.8094804622008166,0.7652712525452395,0.7384438045308035,0.7215926620778076,0.6947652140633714
1,2014,901.8220923080986,645.9551977431261,570.1476863493152,645.9551977431261,570.1476863493152,12379.21,7.284972888480757,5.218064785581036,4.605687167026937,5.218064785581036,4.605687167026937
1,2016,924.6360946026257,665.7770273663994,599.7722810231523,665.7770273663994,599.7722810231523,12379.21,7.469265765768783,5.378186712774074,4.844996417567457,5.378186712774074,4.844996417567457
1,2018,707.140977621733,682.9672252925244,591.3180814071741,682.9036222103055,591.254478324955,12379.21,5.7123271809892,5.5170501614604195,4.7767028865911,5.51653637195189,4.776189097082568
1,2019,726.0535039795133,698.5505342453282,609.7410746288841,698.0143285531719,609.2048689367277,12379.21,5.865103701928583,5.642933064753956,4.925524929530108,5.638601563049435,4.921193427825586
1,2020,748.547562148773,720.9175157202898,643.6630015211676,720.9175157202898,643.6630015211676,12379.21,6.0468120514053245,5.823614881081182,5.199548287178,5.823614881081182,5.199548287178
1,2021,757.5208515177729,730.9461334709711,591.5322279806178,730.9461334709711,591.5322279806178,12379.21,6.119298820504483,5.904626656070712,4.77843277544058,5.904626656070712,4.77843277544058
1,2022,766.97292694948,740.7630763490872,590.1493032220942,712.2527391616507,561.6389660346576,12379.21,6.195653252101549,5.983928508758534,4.767261426392268,5.753620296946661,4.536953214580395
1,2023,770.558185513057,747.324145924201,672.318575898898,706.689821091175,631.6842510658718,12379.21,6.2246151855656136,6.036929221850191,5.431029733714009,5.708682711507237,5.102783223371054
2,2014,174.0114979148849,172.13244359079013,164.27320909361396,172.13244359079013,164.27320909361396,12379.21,1.4056753049256367,1.3904961915242584,1.3270088244210572,1.3904961915242584,1.3270088244210572
2,2016,249.9006649398601,242.14051322068514,229.98694102889593,242.14051322068514,229.98694102889593,12379.21,2.018712542560148,1.9560255720735422,1.8578482878058935,1.9560255720735422,1.8578482878058935
2,2018,247.96277597895482,246.071561832324,224.9826644316742,246.071561832324,224.9826644316742,12379.21,2.003058159437919,1.987780818261618,1.8174234416547923,1.987780818261618,1.8174234416547923
2,2019,250.64500322796226,248.31889796056862,234.45943457712534,248.09075779663152,234.23129441318827,12379.21,2.0247253518436334,2.005934934140132,1.8939773586289055,2.0040920042283115,1.8921344287170851
2,2020,283.47126710092124,281.12516032028645,263.85892654974305,281.12516032028645,263.85892654974305,12379.21,2.289897877981885,2.2709458868561603,2.1314682160634084,2.2709458868561603,2.1314682160634084
2,2021,284.5699898336519,282.0226862718033,240.54436415962476,282.0226862718033,240.54436415962476,12379.21,2.2987734260397223,2.278196155261954,1.943131784335388,2.278196155261954,1.943131784335388
2,2022,300.5367471034002,298.0513420530517,281.50735683309193,282.0056299358528,265.4616447158931,12379.21,2.4277538478093534,2.4076765969157297,2.2740332931834257,2.278058373158326,2.1444150694260222
2,2023,308.32057332348273,306.01557651612995,284.78061071426225,295.5090239687741,274.27405816690646,12379.21,2.4906320623325944,2.4720121600338794,2.3004748341312755,2.387139599124452,2.215602273221849
3,2014,224.74931778724803,86.9520633550733,83.75727325244321,86.9520633550733,83.75727325244321,12387.74,1.8142883026867536,0.7019203127856519,0.6761303777157351,0.7019203127856519,0.6761303777157351
3,2016,235.75145590178806,96.30531526093138,90.00789573140176,96.30531526093138,90.00789573140176,12387.74,1.9031030349505889,0.7774244152761632,0.7265885119594193,0.7774244152761632,0.7265885119594193
3,2018,237.6333747439745,98.33879109388651,91.6388394627761,98.07122108768671,91.3712694565763,12387.74,1.9182948200718979,0.7938396438243499,0.7397543011297953,0.791679685622129,0.7375943429275744
3,2019,273.90425146554236,101.87660592374482,94.21336579070505,101.14321976475634,93.47997963171655,12387.74,2.2110913812006254,0.8223986451422521,0.7605371584381416,0.8164783872179779,0.7546169005138673
3,2020,285.0231006516281,113.2818160521377,104.40908560860399,113.2818160521377,104.40908560860399,12387.74,2.300848263296034,0.9144671752243565,0.8428420810301475,0.9144671752243565,0.8428420810301475
3,2021,285.7275298687111,115.75487973386345,108.34571503803387,115.75487973386345,108.34571503803387,12387.74,2.3065347663795905,0.9344309755763639,0.8746205122002388,0.9344309755763639,0.8746205122002388
3,2022,311.35689772387445,114.29428271793296,111.34818922393907,100.66421211303108,97.7181186190372,12387.74,2.513427773943225,0.9226403098380573,0.8988579775159883,0.8126115991539303,0.7888292668318612
