mascon_id,lat_center,lon_180,area_km2,land_frac_pct,irr_km2,irr_frac_pct,irr_frac_of_land_pct,irr_crop_frac_pct,crop_frac_pct,all_field_frac_pct,irr_frac_min,irr_frac_max
1850,36.0,-119.3814433,12373.54,100.0,6443.594614222425,52.075595296272716,52.075595296272716,42.68241882461931,44.077530085200465,56.347091246749756,50.80497114619294,53.019592683025365
1837,39.0,-121.93548390000001,12393.11,100.0,4600.742945958712,37.1233931269771,37.1233931269771,32.70726923241854,33.537083976990495,49.563696400997955,36.21097477264116,38.369012316715434
1840,38.0,-121.48409889999999,12390.17,98.05846712562493,4417.507535426026,35.65332465515829,36.35925147543048,32.67061059037666,33.07502057273488,63.650129558597165,35.299616425356966,36.127230995097094
1845,37.0,-119.79094079999999,12383.61,100.0,4010.1949954863057,32.38308534818446,32.38308534818446,28.460619712972694,29.155141308910892,39.69354641170854,31.716341605103523,32.85637788999111
1844,37.0,-121.0452962,12383.61,100.0,3581.5226485218486,28.92147482456124,28.92147482456124,25.593044924476803,27.066001579430434,34.062303383127166,28.008006189775795,29.72727892518154
1849,36.0,-120.6185567,12373.54,98.57471403460464,1984.8304151463587,16.04092616297647,16.272860966500296,11.918547523554754,12.659025274150022,17.814310810879256,15.57174236282105,16.512480586795864
1855,35.0,-119.38775509999999,12402.09,100.0,1973.5631613757973,15.913149810844763,15.913149810844763,12.962519348253986,13.129285369590288,19.292370286376208,15.689891234172988,16.042820834521958
1834,40.0,-122.39999999999998,12392.33,100.0,1751.6415067946011,14.134884293709101,14.134884293709101,12.471678314332276,12.674621262782056,15.64506267108908,13.798689164077542,14.468370668691255
1841,38.0,-120.21201410000003,12390.17,100.0,718.9772236696832,5.80280354240243,5.80280354240243,5.409569086985286,5.525553568222742,8.452606502562961,5.730774996215608,5.878716442294443
1827,42.0,-122.02247190000003,12379.21,100.0,702.5001696534233,5.674838456197313,5.674838456197313,4.880013777577949,4.96049949377336,6.233296565466219,5.378186712774074,5.904626656070712
1854,35.0,-120.61224490000001,12402.09,58.30866649227923,540.6831390831679,4.359613090077301,7.476784074035661,3.8502593136664247,3.8669611749909216,6.204620646215188,4.141172631970934,4.495058768666319
1832,41.0,-120.2214022,12387.74,100.0,409.93190987853995,3.3091743116867156,3.3091743116867156,3.002325447572176,3.0481578321942178,3.446815957185315,2.9740216324864144,3.5295387315371958
1859,34.0,-118.99328860000003,12384.63,37.52573059607004,389.5526522621205,3.14545248636512,8.382121910491287,2.9209373878123484,2.923581317857987,7.520709382144138,3.1173483696768116,3.161248906324974
1836,39.0,-123.22580649999998,12393.11,82.33616537795265,374.1404996531466,3.0189395531319145,3.6666020809615008,2.825221314288393,2.946912544263673,4.6179657890998085,2.74083380642839,3.0962407785996997
1839,38.0,-122.75618370000001,12390.17,45.36030043082718,370.78068155598555,2.9925390979783617,6.59726472169618,2.849084367106209,3.5349190241400814,7.188800779464789,2.436180680607625,3.818919413197861
1831,41.0,-121.54981550000002,12387.74,100.0,345.26855196883224,2.7871795175619787,2.7871795175619787,2.46745384073497,2.5356407424921956,3.021408873809247,2.368590748790241,3.1453162017858225
1828,42.0,-120.67415729999999,12379.21,100.0,268.13790476376533,2.1660340584234805,2.1660340584234805,2.000289071603491,2.03119388797187,2.221936181143608,1.9560255720735422,2.387139599124452
1843,37.0,-122.2996516,12383.61,35.810713685449706,253.9988306163561,2.0510887424293567,5.727584098003433,1.9273241424875087,2.0394928450592147,4.464254670573181,1.9844506927062737,2.1531024609466547
1835,40.0,-121.09090909999998,12392.33,100.0,238.60362618293675,1.925413753369518,1.925413753369518,1.7109928964939682,1.7442564028373937,3.1964050477969947,1.5196698192617506,2.1443170835267757
1875,40.0,-119.78181819999998,12392.33,100.0,228.55573198060893,1.8443321956452816,1.8443321956452816,1.57280694869278,1.6196702802557457,2.0103473320212215,1.3147094595699966,2.2669158870184796
1848,36.0,-121.8556701,12373.54,26.261330278781347,221.0686822787045,1.7866243797547388,6.803251628110771,1.72245403793553,1.742303339037363,1.9792277149695654,1.7718888846783682,1.7965456248251843
1856,35.0,-118.16326530000003,12402.09,100.0,177.59639688178228,1.431987647902751,1.431987647902751,0.8893085282683602,0.8982867757169454,5.139904504216637,1.3837889848435152,1.472699943535391
1842,38.0,-118.93992930000002,12390.17,100.0,112.3218156980307,0.9065397464121211,0.9065397464121211,0.896806644432995,0.8971191929234789,1.0258181589847963,0.7527958852176626,0.9974428448335166
1830,41.0,-122.87822879999999,12387.74,100.0,103.51395261808308,0.8356161222150537,0.8356161222150537,0.7860854879222012,0.8192665105966224,2.2198480446168753,0.7774244152761632,0.9344309755763639
1860,34.0,-117.78523489999998,12384.63,90.9327461061234,90.3222957815407,0.7293096021563883,0.8020318679315424,0.4942624718675962,0.4947981574483466,56.19471545795377,0.7032404148310502,0.7678466860854068
1826,42.0,-123.37078650000001,12379.21,100.0,89.94310328583562,0.7265657767000934,0.7265657767000934,0.6954911144166092,0.7090521647611375,0.7897388205592669,0.707126744439381,0.7531532734126605
1838,39.0,-120.64516130000004,12393.11,100.0,86.92387869396002,0.7013887449878201,0.7013887449878201,0.6364200397519203,0.6602712876540134,3.281179563843268,0.654183746224249,0.7245427830635691
1882,39.0,-119.35483869999996,12393.11,100.0,55.24066748402474,0.4457369254692707,0.4457369254692707,0.43715371774584416,0.44055339016261225,0.5586080031536301,0.3615650904347737,0.4898366854086961
1846,37.0,-118.53658540000004,12383.61,100.0,55.15636004728248,0.44539807089598654,0.44539807089598654,0.42251509872530857,0.42831598766490975,0.5754602622909364,0.39917240606416876,0.5205374313390333
1833,40.0,-123.70909089999998,12392.33,76.73136737420467,54.6084973226535,0.4406636792488055,0.5742940525219241,0.3996201612765032,0.4386743563790444,0.6149598815954971,0.3248010880390768,0.48566617357816755
1851,36.0,-118.1443299,12373.54,100.0,29.20522121154902,0.23602963429664442,0.23602963429664442,0.21268212104997877,0.2216912773277731,0.9181499734188182,0.2119286748973821,0.2546808958593078
1847,37.0,-117.28223000000003,12383.61,100.0,8.3399395281191,0.06734659382941725,0.06734659382941725,0.06662484564262776,0.06662484564262776,0.06734659382941725,0.06662751054313565,0.067634391882633
1889,38.0,-117.6678445,12390.17,100.0,5.111470493554902,0.04125424020457267,0.04125424020457267,0.039729864558659074,0.039729864558659074,0.04125424020457267,0.0366223933967476,0.04231384900365497
1865,42.0,-117.97752809999997,12379.21,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1868,41.0,-118.89298889999998,12387.74,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1869,41.0,-117.56457560000001,12387.74,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1877,40.0,-117.16363639999997,12392.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1876,40.0,-118.47272729999997,12392.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1883,39.0,-118.06451609999999,12393.11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2003,42.0,-119.32584270000001,12379.21,100.0,0.0,0.0,0.0,0.0,0.0,0.0,,
