footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,cu_clim_ds_std_mm,partial_r_climweights,partial_p_climweights
"best native mascon (1850, Tulare)",12373.54,52.07559529627272,42.68241882461931,187,318.4814290567542,7.621497740037138,14.543653088923465,16.64563723112543,11.770242963300058,0.647522550197237,0.5240428724088391,0.5917090697450437,0.7810382000317204,0.3447599930943629,0.459636310205384,-0.7316485976038622,0.336292261769583,0.013986847632072197,0.8837415977031748,112.44493014959637,0.35204222362737786,0.09768931212943256,-0.03477255610363972,0.23632857692677864,0.8832949973307763,9.540040016287126,4.66444718880252,-0.11572288372329659,0.22479837215169524
300 km footprint around 1850,74289.93000000001,19.51347210515573,16.10822194272038,187,110.97400557266482,2.8994891799235205,14.045790905040363,15.951526093493486,11.279432270983401,0.2570598510868781,0.20643117924267493,0.23907543479539672,0.790091443673166,0.33164575797024437,0.5000595448732852,-0.6912116009478391,0.3456469585811112,-0.022372907437455312,0.8099371238315997,120.03856952094604,0.24177990513914033,0.0513950911841726,0.12987664457426876,0.534012472374222,0.8082692374697771,60.53290105471734,1.8317126384737568,-0.16552612751748125,0.0732048882789944
irrigated core (8 mascons >=10% irr),99092.0,29.027164476377582,24.930785861756085,187,160.6302692147824,4.128759861572197,14.822975290553051,17.80271447354757,12.588420127773384,0.3279807807226787,0.2785378630566517,0.33817567492560846,0.8615461487667602,0.42070750065035434,0.5615287639747327,-0.6823061328238098,0.3831345194169337,0.06211166585576139,0.4894356827616124,124.05049303001972,0.22668920842970663,0.04513359682700973,-0.25239314592232615,0.3670943332475641,0.4930558534806283,37.184607414352556,2.2188681358832327,-0.18173078037816848,0.04160731230500996
all 40 land mascons,495492.87,7.001933453760043,6.063779867646275,187,44.75709493420139,1.1540296980855713,13.328605198954666,15.006418098303357,10.611139998630838,0.1087564293972633,0.0865829305362034,0.10919311724105896,0.8914751740030984,0.4308598519750682,0.6054733123224825,-0.6676619504509962,0.4042514926512538,0.044909096192026175,0.6031701337279177,135.45694318121005,0.20905313686837376,0.03372509487727471,-0.5544951207002505,1.0684059053280734,0.604631710356156,338.18170535902175,0.6250643138447421,-0.20887631118026664,0.014539373163145138
