footprint,n_years,r_raw,partial_r,partial_p,b_P,se_P,b_CU,se_CU
best native mascon (1850),16,0.4378747802237894,0.023955398771252207,0.9324672078439435,0.42916797112443505,0.11511279685121442,-0.017823654510979503,0.20629895417857794
300 km footprint,16,0.4967663879244581,-0.10251253428254202,0.7161975163343132,0.28481574989376085,0.05879006595216806,0.17637984049970634,0.4746858249301426
irrigated core,16,0.6933006864272545,-0.015692668877803607,0.9557341449093903,0.3025013735892871,0.07407918762774642,0.027953102017789624,0.49397849324463494
all 40 mascons,16,0.6795155981665283,-0.09455820041609708,0.7374718207397747,0.2465287059526977,0.053718855526133084,0.471603188913912,1.3770685441483246
