footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,solution,fp
best native mascon (1850) [GSFC],12373.54,52.07559529627272,42.68241882461931,187,318.4814290567542,7.621497740037138,14.543653088923465,16.64563723112543,11.770242963300058,0.647522550197237,0.5240428724088391,0.5917090697450437,0.7810382000317204,0.3447599930943629,0.459636310205384,-0.7316485976038622,0.336292261769583,0.013986847632072197,0.8837415977031748,112.44493014959637,0.35204222362737786,0.09768931212943256,-0.03477255610363972,0.23632857692677864,0.8832949973307763,9.540040016287126,GSFC,best native mascon (1850)
best native mascon (1850) [CSR],12373.54,52.07559529627272,42.68241882461931,183,309.7539203971025,7.530071057027955,25.782015183262498,34.85546312181657,24.646534334834126,0.30552251098384026,0.29206681492905273,0.329491984805967,0.6630607826898183,0.39724902246341515,0.44706827579558056,-0.7367032460974058,0.32935665000577447,0.11224193866866085,0.211685304993636,129.5904143686032,0.4756261790855064,0.16398183372339192,-0.5083556439436542,0.39862294101570306,0.20454578180833455,42.852243291787936,CSR,best native mascon (1850)
300 km footprint [GSFC],74289.93000000001,19.51347210515573,16.10822194272038,187,110.97400557266482,2.8994891799235205,14.045790905040363,15.951526093493486,11.279432270983401,0.2570598510868781,0.20643117924267493,0.23907543479539672,0.790091443673166,0.33164575797024437,0.5000595448732852,-0.6912116009478391,0.3456469585811112,-0.022372907437455312,0.8099371238315997,120.03856952094604,0.24177990513914033,0.0513950911841726,0.12987664457426876,0.534012472374222,0.8082692374697771,60.53290105471734,GSFC,300 km footprint
300 km footprint [CSR],74289.93000000001,19.51347210515573,16.10822194272038,183,108.0120059356474,2.8880204259634374,22.585339008273895,28.1241715556313,19.886792422240703,0.14522303872059203,0.1278714667468769,0.14860734981109464,0.7153550808747086,0.3999298189401309,0.49989487870306054,-0.6915447061855092,0.34569965701634875,0.08668460705275839,0.3198694794742651,135.64295809999922,0.32300941047596726,0.07804202530291876,-0.8128146935694122,0.8087278024273061,0.31670104777766606,189.66576694105945,CSR,300 km footprint
irrigated core [GSFC],99092.0,29.027164476377582,24.930785861756085,187,160.6302692147824,4.128759861572197,14.822975290553051,17.80271447354757,12.588420127773384,0.3279807807226787,0.2785378630566517,0.33817567492560846,0.8615461487667602,0.42070750065035434,0.5615287639747327,-0.6823061328238098,0.3831345194169337,0.06211166585576139,0.4894356827616124,124.05049303001972,0.22668920842970663,0.04513359682700973,-0.25239314592232615,0.3670943332475641,0.4930558534806283,37.184607414352556,GSFC,irrigated core
irrigated core [CSR],99092.0,29.027164476377582,24.930785861756085,183,156.63199718398735,4.136740823625042,25.29044559400732,30.88548913424716,21.839338807089597,0.18941694435740664,0.16356931348830248,0.19970528516175703,0.8175901917713982,0.4584873138380112,0.5608614120476272,-0.6811909967267332,0.3820537442982862,0.126103561692973,0.10840212767077922,162.6611626967257,0.35225633807342416,0.0673719100898097,-0.8718357593366718,0.5422178766529389,0.10983131164896749,111.48651466696319,CSR,irrigated core
all 40 mascons [GSFC],495492.87,7.001933453760043,6.063779867646275,187,44.75709493420139,1.1540296980855713,13.328605198954666,15.006418098303357,10.611139998630838,0.1087564293972633,0.0865829305362034,0.10919311724105896,0.8914751740030984,0.4308598519750682,0.6054733123224825,-0.6676619504509962,0.4042514926512538,0.044909096192026175,0.6031701337279177,135.45694318121005,0.20905313686837376,0.03372509487727471,-0.5544951207002505,1.0684059053280734,0.604631710356156,338.18170535902175,GSFC,all 40 mascons
all 40 mascons [CSR],495492.87,7.001933453760043,6.063779867646275,183,43.65893105694169,1.1567910723474712,16.54454237068756,18.380587464842527,12.997038038582602,0.08900420764434615,0.06991979871241354,0.09026538658488946,0.8832983155331736,0.4775923459702167,0.6243636862141668,-0.6659346500705636,0.4157854128957984,0.1060637740255858,0.2042220396453257,146.55550629917158,0.25179559112911165,0.03967132784620575,-1.5883552083801715,1.2402582656901096,0.20237663338298373,504.9389990654526,CSR,all 40 mascons
