footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,mascon_id,lat,lon,cu_mm_month,_icf,cu_over_irrigated_mm_yr
mascon 1854,12402.09,4.359613090077301,3.8502593136664247,187,12.146018231371674,0.4508658425107029,18.17039747883499,20.053354341147703,14.179862840162231,0.0317962061828762,0.0248132074730822,0.0260945533326701,0.4542379523002633,0.1400862894979873,0.2978418360687833,-0.5973660717955427,0.177920607628781,-0.0494197039800147,0.5876375319947428,126.56799788681928,0.1446143688361331,0.0462678964756096,2.370763217364439,4.293455722730789,0.5818219377438998,3956.483713288842,1854,35.0,-120.6122449,1.0121681859476395,3.8502593136664247,278.60312326836123
mascon 1832,12387.74,3.309174311686716,3.002325447572176,187,4.7971191554451895,0.2046752287201207,14.335195869925208,16.544756107653424,11.698909236799285,0.0174952403320053,0.0142778117981298,0.017118096474731,0.8535270612753861,0.2194260062323537,0.5467685132770483,-0.4664173993639814,0.2550223480167914,-0.0480621326543393,0.5706577899167742,142.04773032065904,0.3711177593922712,0.0522526987529714,3.18628376437335,5.601108320806331,0.5703643258496252,13068.332199942222,1832,41.0,-120.2214022,0.39975992962043244,3.002325447572176,144.96423287536203
mascon 1859,12384.63,3.14545248636512,2.9209373878123484,187,16.145182673252947,0.6439990197098399,16.173383370227345,16.577845548570853,11.72230700485767,0.0549379076527316,0.0398184476907497,0.0445436227123489,0.4433536662825909,0.1299592630642041,0.4283936230017462,-0.5298570129279874,0.2269873654411036,-0.1266148520457508,0.1396836265013917,140.4471934611647,0.1640778565840446,0.0295099950225977,3.387914242531616,2.257843069900843,0.1357761974630066,1325.304770772883,1859,34.0,-118.99328860000004,1.3454318894377455,2.9209373878123484,513.2864903615281
mascon 1836,12393.11,3.0189395531319145,2.825221314288393,187,9.213584074398714,0.5084085378386045,24.6484053295981,26.899256001691157,19.02064632766875,0.0267292987357132,0.0206264271882977,0.0254004355527229,0.7381393413463548,0.1779735459235588,0.5798855275692332,-0.3514788220230387,0.2038174821382424,-0.0338840508642289,0.68984083378248,144.17081690460486,0.1586461081021208,0.019626710235799,1.4295562379922913,3.540215309364135,0.6869672268612956,5598.66989452064,1836,39.0,-123.22580649999998,0.7677986728665595,2.825221314288393,305.19273116417116
mascon 1839,12390.17,2.9925390979783617,2.849084367106209,187,8.510509151107689,0.5672543154277001,21.742204682259008,25.74925818491837,18.207475073079,0.0311550235906363,0.0260900089810378,0.0307868328825563,0.6984975184284695,0.1760650017250501,0.5270103163979541,-0.3058820505242456,0.1612029962272377,0.0183680047921408,0.8376513924860205,127.02001240385812,0.1688177553777833,0.0258185879565462,-0.6284430987437047,3.059894968116041,0.837611492680115,4121.011461955299,1839,38.0,-122.7561837,0.7092090959256407,2.849084367106209,284.39090927356784
mascon 1831,12387.74,2.7871795175619787,2.46745384073497,187,11.718991404309646,0.5452282914878988,15.875783348073524,19.0413715197666,13.464282924719358,0.0404944173066136,0.0343433945610035,0.041460012670402,0.8256403068797213,0.1957075951627533,0.5542522067677516,-0.4410791226641706,0.2444690770958003,-0.0652758400377697,0.4360756402733195,147.31462387159883,0.1507407752281044,0.0199451046483604,1.7627694612677784,2.238230361021033,0.4322382092772294,2439.3250920918226,1831,41.0,-121.54981550000002,0.9765826170258038,2.46745384073497,420.46058857954597
mascon 1828,12379.21,2.1660340584234805,2.000289071603491,187,19.2562366431662,0.7385698462401941,12.882335947247418,15.033701761476276,10.63043246187602,0.0694769332187501,0.0573319815027805,0.0695244320965329,0.8654679503230823,0.2769928954183011,0.5576941454499317,-0.6010567822876756,0.3352058485648108,-0.0877522545827043,0.2716804884485895,158.47609031637748,0.3517816477600265,0.0475861731412634,1.5896622412348735,1.4451002901560583,0.2730167778346724,828.6644566037888,1828,42.0,-120.6741573,1.6046863869305168,2.000289071603491,889.0089501723531
mascon 1843,12383.61,2.0510887424293567,1.9273241424875087,187,4.007825675515939,0.1598032680869404,19.31856079955946,24.37345209119487,17.234633254609328,0.0092722175010136,0.0082720068924898,0.0092558679718483,0.7273114366974588,0.2911202183933431,0.4352546840439268,-0.4954123622406686,0.2156305511985176,0.0965268022641482,0.307684646335721,110.85889940868395,0.1343908205393872,0.034416374462064,-12.094253026835824,11.940568492168422,0.3133886504307991,46525.6844057462,1843,37.0,-122.2996516,0.3339854729596616,1.9273241424875087,195.3999157915019
mascon 1835,12392.33,1.925413753369518,1.7109928964939682,187,10.661779808971632,0.4850020021537147,17.20835603501081,20.88972853588689,14.77126870487175,0.0328341466020285,0.0281840985371854,0.0356615955092548,0.8272807526732128,0.2876273756341043,0.6087689636016494,-0.4158765281796758,0.2531727230461933,0.0477550567480058,0.5800364653491126,136.9579419984921,0.1104333965559002,0.0140154827368022,-1.4781335909531592,2.6632799673773837,0.5798168326411263,3710.2957205498224,1835,40.0,-121.09090909999998,0.888481650747636,1.7109928964939682,553.7396723334542
mascon 1875,12392.33,1.8443321956452816,1.57280694869278,187,4.725696211628183,0.1988593131848966,15.265546904588332,17.691069665594572,12.509475326985548,0.0158966949441848,0.0130266746699475,0.0160891743522469,0.8586030485523121,0.2435590097805861,0.5838784210004128,-0.4099914260399493,0.2393851464599131,0.0056367631436217,0.9486058305596023,134.3258915011415,0.365244453628518,0.048601839382301,-0.3851499639945877,5.9432664600918566,0.9484282609862686,15828.738735823765,1875,40.0,-119.78181819999998,0.3938080176356819,1.57280694869278,256.228038679051
