mean,std,count,dist_mid
0.9768034688070076,0.026381637305900586,92,125.0
0.9516902322436879,0.05903162762648354,30,175.0
0.9356428214755623,0.06272460026180435,100,225.0
0.8967021191162494,0.10307531253839203,61,275.0
0.8929893398476243,0.09770641295570194,79,325.0
0.8588250996835156,0.11473117835579522,70,375.0
0.8465558664930742,0.10765333071704113,67,425.0
0.8228130306321684,0.12893848906125815,72,475.0
0.7692806729957304,0.14374181806728847,23,525.0
0.8091486754314045,0.13668066497559006,68,575.0
0.767940429964648,0.15322677020146372,20,625.0
0.8012914792474106,0.14620132163875316,42,675.0
0.771617342726777,0.18779028756254004,14,725.0
0.8245512568258638,0.13625817668256957,18,775.0
0.8182254576800917,0.17274827468369092,10,825.0
0.8419567831062303,0.07052885355912257,7,875.0
0.8908184874561271,0.03893048762660389,4,925.0
0.8649373879419199,0.052881552992416564,2,975.0
0.8287426384713695,,1,1025.0
