footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,mascon_id,lat,lon
mascon 1830,12387.74,0.8356161222150537,0.7860854879222012,187,6.3654004261191135,0.3440315782519624,18.514476699315924,21.13769157909739,14.946605054209545,0.02301737264109148,0.01858176084796789,0.0217401932619511,0.7941712871955998,0.23320647881348308,0.5102267564477758,-0.32337738646867287,0.16499579500646983,0.08381440889137429,0.3056702084345197,153.36144186122326,0.09620597046459739,0.014606836094485202,-4.0995418045874885,3.96770726009038,0.3031567151279964,7550.02680843428,1830,41.0,-122.8782288
mascon 1860,12384.63,0.7293096021563883,0.4942624718675962,187,5.417768372720424,0.22390875038542177,14.177794730382411,14.760837648505168,10.437488397251697,0.021452359213580477,0.015792918055555907,0.017820243908913427,0.5636684255864624,0.18074404885688364,0.4564125775596178,-0.48294044529859975,0.2204200934465235,-0.05092362607626832,0.5290656748920909,155.93648966385788,0.16061521361817188,0.027333651897621658,3.276436155349284,5.187481527242214,0.5285883424331357,8691.802917755493,1860,34.0,-117.78523489999998
mascon 1826,12379.21,0.7265657767000934,0.6954911144166092,187,1.2047010569087955,0.07635537671359796,15.97014214374822,18.36419317274166,12.985445523465327,0.005880073700638157,0.00478113319382624,0.005386778000322605,0.7534228404857154,0.061069542713958,0.45404217040137207,-0.22634696547460992,0.10277106746785632,-0.04805118331611305,0.5563971033180278,152.65964533847094,0.08752926821683751,0.014063062720153563,9.1930897055884,15.592121974681842,0.5563489876427802,115689.63536339415,1826,42.0,-123.3707865
mascon 1838,12393.11,0.7013887449878201,0.6364200397519203,187,4.7023797707248125,0.24603846436022167,16.383829852208663,20.60116317752645,14.567222183159553,0.01688986831303051,0.015017152068815817,0.019563541295242466,0.7982534653351318,0.32008770428412764,0.6288763545903293,-0.3446281551881999,0.21672849792394544,0.14161224359032493,0.11456604229590946,129.43090373356077,0.10790150527806683,0.013321911083876205,-7.810369974693207,4.837987806335572,0.1089371857513033,14021.919334782859,1838,39.0,-120.64516130000004
mascon 1882,12393.11,0.4457369254692707,0.4371537177458441,187,0.6776476858452757,0.026375081880053865,14.690804978416368,17.41189242833685,12.312067209367687,0.0021422139297604123,0.001795346267192571,0.0023005207157273046,0.869042722171047,0.3178564509672857,0.6221687994030405,-0.47644579078026256,0.2964297056303882,0.03112932445144509,0.7294400102598986,126.71083697291593,0.3443176840608047,0.0450682629909832,-15.439343273792181,44.39699888390624,0.7286140787343124,871634.3027362674,1882,39.0,-119.35483869999996
mascon 1846,12383.61,0.4453980708959865,0.4225150987253085,187,4.2531240786889954,0.137171135963457,13.319235164090077,15.335997580079383,10.844187885134614,0.012649276959825954,0.01029872468452869,0.012373589025370332,0.8415897191649265,0.4043658676840262,0.5464047649606525,-0.64103203504329,0.3502629584400776,0.0841663340189483,0.3723309243056924,114.6155475924614,0.14542940744558047,0.030542637595686536,-8.917937377793463,9.94196872738621,0.37165006076011914,24999.342578791107,1846,37.0,-118.53658540000004
mascon 1833,12392.33,0.4406636792488055,0.3996201612765032,187,0.7265412603262243,0.07067407717178205,25.321180564394066,26.53610177822702,18.763857513640726,0.0037665004181791644,0.0027911051379319158,0.0032420101599035613,0.6275713843075487,0.0825576328698068,0.5045461142504479,-0.1954748586266217,0.09862608035371763,-0.018977085438471156,0.8202964640482471,147.07199690881149,0.10485410541396803,0.015108300129219687,5.9857373178973585,26.21542018604193,0.8197143360414463,281957.69486723293,1833,40.0,-123.70909089999998
mascon 1851,12373.54,0.2360296342966444,0.2126821210499787,187,1.1749843169455996,0.08734912326785933,13.41115538475999,14.77802711853489,10.449643188074715,0.008359053194040483,0.006513169131357623,0.0074335204650408946,0.6255627833076645,0.09375997781193192,0.4761761619499556,-0.27307287891707255,0.13003079541535656,-0.042876917250633695,0.6478531988577946,117.2632710432271,0.22144245053891026,0.03866882355216265,6.017565843293086,13.05354918616751,0.6456814778237596,57246.08794946184,1851,36.0,-118.1443299
mascon 1847,12383.61,0.0673465938294172,0.0666248456426277,187,0.11817049661485732,0.0023062818074346255,12.546166848471147,13.888800157334877,9.820864773796279,0.00023483490105557443,0.0001838236200179073,0.00021903795959252545,0.8628320793063284,0.3010703079868695,0.5384106562712729,-0.6243476249366248,0.3361554144835387,-0.053299877871868344,0.5478462262774999,130.98471005627746,0.6453103039004628,0.10661975032181141,312.792526495294,516.1952189760897,0.5456159471855331,72532844.14751673,1847,37.0,-117.28223000000004
mascon 1889,12390.17,0.0412542402045726,0.039729864558659,187,1.304040308229855,0.04324536261448014,12.819929882908506,14.249273505535673,10.075757922746082,0.004292020803403135,0.003373291664577256,0.004079198686907086,0.8279743084628133,0.20522184838886232,0.5533741183790449,-0.495034228735726,0.27393912989408287,-0.09495098102707118,0.3104562357853763,118.80363373870325,0.6878508648535704,0.10145233078094022,26.983544703770153,26.16555573899466,0.30456695114646626,217138.26066085466,1889,38.0,-117.6678445
