footprint,area_km2,irr_frac_pct,irr_crop_frac_pct,n_months,cu_mm_yr,cu_ds_std_mm,dsdt_ds_std_mm,tws_noise_floor_mm,dsdt_noise_mm,snr_vs_noisefloor,snr_vs_dsdt_std,snr_vs_residual,r_raw,r_deseason,r_dsdt_P,r_P_CU,induced_via_P,partial_r,partial_p,n_eff_resid,b_P,se_P,b_CU,se_CU,p_CU,months_for_2sigma,cu_clim_ds_std_mm,partial_r_climweights,partial_p_climweights,cu_mm_month,n_mascons,se_pred,D_mm_yr
"best native mascon (1850, Tulare)",12373.54,52.07559529627272,42.68241882461931,187,318.4814290567542,7.621497740037138,14.543653088923463,16.64563723112543,11.770242963300058,0.647522550197237,0.5240428724088391,0.5917090697450437,0.7810382000317204,0.3447599930943629,0.459636310205384,-0.7316485976038622,0.336292261769583,0.0139868476320721,0.8837415977031748,112.44493014959636,0.3520422236273778,0.0976893121294325,-0.0347725561036397,0.2363285769267786,0.8832949973307763,18.84617240611157,4.66444718880252,-0.1157228837232965,0.2247983721516952,26.540119088062852,1,0.15937560055743008,318.4814290567542
300 km footprint around 1850,74289.93000000001,19.51347210515573,16.10822194272038,187,110.97400557266482,2.8994891799235205,14.045790905040365,15.951526093493486,11.2794322709834,0.2570598510868781,0.2064311792426749,0.2390754347953967,0.790091443673166,0.3316457579702443,0.5000595448732852,-0.6912116009478391,0.3456469585811112,-0.0223729074374553,0.8099371238315997,120.03856952094604,0.2417799051391403,0.0513950911841726,0.1298766445742687,0.534012472374222,0.8082692374697771,119.58162518937603,1.8317126384737568,-0.1655261275174812,0.0732048882789944,9.247833797722068,6,0.3817724983614155,110.97400557266482
irrigated core (8 mascons >=10% irr),99092.0,29.027164476377585,24.930785861756085,187,160.6302692147824,4.128759861572197,14.822975290553051,17.80271447354757,12.588420127773384,0.3279807807226787,0.2785378630566517,0.3381756749256084,0.8615461487667602,0.4207075006503543,0.5615287639747327,-0.6823061328238098,0.3831345194169337,0.0621116658557613,0.4894356827616124,124.05049303001972,0.2266892084297066,0.0451335968270097,-0.2523931459223261,0.3670943332475641,0.4930558534806283,73.45750342640609,2.2188681358832327,-0.1817307803781684,0.0416073123050099,13.385855767898533,8,0.2654962475114014,160.6302692147824
all 40 land mascons,495492.87,7.001933453760043,6.063779867646275,187,44.75709493420139,1.154029698085571,13.328605198954666,15.006418098303357,10.611139998630838,0.1087564293972633,0.0865829305362034,0.1091931172410589,0.8914751740030984,0.4308598519750682,0.6054733123224825,-0.6676619504509962,0.4042514926512538,0.0449090961920261,0.6031701337279177,135.45694318121005,0.2090531368683737,0.0337250948772747,-0.5544951207002505,1.0684059053280734,0.604631710356156,668.0716970691925,0.6250643138447421,-0.2088763111802666,0.0145393731631451,3.7297579111834493,40,0.7868720154738984,44.75709493420139
