mascon_id,lat_center,lon_180,area_km2,leakage_2sigma_cm,leakage_trend_cm_yr,nl_area_frac,chirps_cells,chirps_mm_yr,tws_trend_mm_yr,tws_p,res_trend_mm_yr,tws_trend_paired_mm_yr,n_months_reservoir_defined,minus_res_trend_mm_yr,minus_res_p,reservoir_share_of_tws_trend,tws_precipadj_trend_mm_yr,tws_precipadj_p,tws_frac_unexplained_by_precip,minus_res_precipadj_trend_mm_yr,minus_res_precipadj_p,minus_res_frac_unexplained_by_precip,grace_noise_2sigma_mm,land_frac,dist_km,post2020_tws_mm,post2020_minusres_mm,post2020_csr_mm,pre2020_tws_mm,drought_tws_mm,drought_minusres_mm,drought_csr_mm,predrought_tws_mm,drought_drawdown_mm,drought_drawdown_minusres_mm,post2020_cum_precip_cm,drought_cum_precip_cm,csr_r,csr_trend_mm_yr,basin,country
3140,29.0,-101.4649682,12406.28,0.9497212788680592,-0.0372147245285804,0.0,2,486.2230961593156,-6.278420938659857,7.259000517767179e-07,-4.709729683495594,-5.981057452890498,243,0.8322071811510091,0.8117561468311982,1.1391404760288373,-6.552186393222399,5.759997197397642e-13,1.043604189212101,2.0385805906480927,0.4647341146627461,2.44960706518847,12.257356331154485,1.0,373.89913258066736,-115.76920422712963,54.68989463167789,-112.07228993314682,-46.3097067616052,-104.98853584130606,36.33553845383106,-79.08744490685618,-41.045792199050375,-63.942743642255685,-6.709317941147752,-6.9163683726575504,-0.2734408127687224,0.9080288143118596,-6.175522315690018,2001.0,Mexico
3144,28.0,-101.6403785,12407.1,0.9685624638583702,-0.0359941945406699,0.0,4,457.95498766849954,-5.839044628357579,3.3566934854171654e-07,0.0,-5.839044628357579,255,-5.839044628357579,3.3566934854171654e-07,-0.0,-6.4543033314915546,6.178266915362183e-17,1.1053697552072037,-6.4543033314915546,6.178266915362183e-17,1.1053697552072037,13.205012468693536,1.0,290.58854596385726,-108.03747945399437,-108.03747945399437,-108.85172110576096,-40.12122629099112,-98.74740218094344,-98.74740218094344,-73.58125226720037,-37.2658981438985,-61.48150403704496,-61.48150403704496,-1.3411624014670305,3.5470129887876154,0.8881112030606289,-5.957457984766857,2001.0,Mexico
3145,28.0,-100.50473190000002,12407.1,1.0272301701801605,0.1967546657159212,0.0855339541546766,4,441.4683155300691,-8.220368354396369,1.662434477501884e-09,-0.829796740933865,-7.934952183747168,244,-6.653606257688381,2.502937056288788e-07,0.1614812410191096,-6.644851926884736,7.940317428000384e-15,0.8083399235182661,-6.438007000173831,1.7595176581523087e-06,0.9675966311854688,13.70908184348579,1.0,234.54899421985164,-144.12093234490607,-98.5833744454911,-91.10314737391164,-58.31270094909188,-136.8670765760665,-104.03388160437024,-76.27966734490022,-58.69939243452003,-78.16768414154646,-45.07528744932996,-16.980863631579318,-15.60351323971858,0.8685108511753263,-5.041559645610223,2001.0,Mexico
3148,27.0,-101.8125,12404.16,1.133212092593306,-0.1351588215932304,0.0,6,337.7051065754645,-4.382739304266613,1.7780254927212406e-05,0.0,-4.382739304266613,255,-4.382739304266613,1.7780254927212406e-05,-0.0,-5.185045670446002,4.159941925440864e-06,1.1830604812379193,-5.185045670446002,4.159941925440864e-06,1.1830604812379193,14.561913892855952,1.0,233.22045551510865,-83.81942128715002,-83.81942128715002,-101.9531201256096,-24.867095103978905,-73.5733144002863,-73.5733144002863,-68.80364266607313,-20.086411297217843,-53.486903103068464,-53.486903103068464,10.53650481980013,13.116322233801847,0.872127420421591,-5.523732001762356,2001.0,Mexico
3149,27.0,-100.6875,12404.16,1.144550989715098,-0.0673175474558043,0.4819985060989988,4,403.7594776055247,-5.159321943293335,2.334317287129052e-06,0.0112420387754656,-4.870145137354788,244,-4.883221964276675,1.2902585528155429e-05,-0.0026851000438541,-4.405049419532336,1.4967979119085617e-11,0.8538039432213593,-4.574872352392745,3.6475411565141395e-11,0.9368552946927932,14.52074174893884,1.0,144.99775149571698,-93.85521272611288,-88.7754775228965,-77.19225503627554,-30.15370969019002,-87.55924435249634,-87.63621964859773,-67.51295166696322,-25.67489337838358,-61.88435097411276,-61.68095146943047,-8.843404379020482,-9.475976477844826,0.8638099960376897,-4.194820467982669,2001.0,Mexico
3150,27.0,-99.5625,12404.16,1.3316320148432716,0.0790571021977538,0.4276917134239177,4,484.0964110979101,-6.573197808274404,3.244396385074327e-08,-4.444401882370795,-6.573197808274404,255,-1.7586462640694087,0.3174923421688398,0.7324519487523092,-5.417475811046295,2.0567174469810778e-13,0.8241765985235868,-2.391459448011796,0.165608733056002,1.359829714975252,16.06961802481062,1.0,112.78791035583544,-114.30474322421682,-6.994550051122624,-55.18589961168576,-41.460954592459736,-110.68370895170504,-4.028189953476783,-59.86134331841966,-39.71622999654048,-70.96747895516455,-18.22835664944341,-14.53217799849688,-16.706139864309,0.8323010031321707,-2.966046404534127,2001.0,Mexico
3151,26.0,-100.86687310000002,12397.52,1.2977739869707716,-0.3280624350395359,0.5515383100166942,4,342.82071379656645,-2.104876683987781,0.0281866770183894,0.0,-2.104876683987781,255,-2.104876683987781,0.0281866770183894,-0.0,-2.588186816500998,0.0002065905369228,1.2296144644433822,-2.588186816500998,0.0002065905369228,1.2296144644433822,15.374562993211686,1.0,111.38939074649478,-43.88837767176381,-43.88837767176381,-63.41760424871556,-2.164694345983055,-36.15692982358289,-36.15692982358289,-61.56536355757974,8.765698767254232,-44.92262859083712,-44.92262859083712,-1.7471061089355295,-5.121992127843042,0.8120118484688885,-3.3524224647938747,2001.0,Mexico
3152,26.0,-99.752322,12397.52,1.4720956656144744,-0.3481779195347746,0.9684034157614404,6,577.3600836267177,-1.7861110193543102,0.0658162546852314,-1.92203077764534,-1.7597816630850875,240,0.6613890871919974,0.4427264211673725,1.3758358784307996,-0.049546541938561,0.946813855647509,0.027739900488645,1.430674646340594,0.134824128050386,2.163136153961484,16.511050335514394,1.0,0.0,-36.376980886691136,10.84597401834901,-43.1083502264045,1.0398382333417735,-31.233484459006128,22.54494819885162,-54.54347309481928,12.656791244736974,-43.8902757037431,-8.23514467753786,-16.29942551406869,-21.57285849363935,0.7870244640677385,-2.2271593096749984,2001.0,Mexico
3153,26.0,-98.63777090000002,12397.52,1.6606303762633894,-0.2950089799555238,0.3175333258944128,4,573.3662852798541,-2.0917161472574897,0.036212790999989,-0.4770159768843098,-1.8559122069566647,244,-1.1412801820360308,0.1423312028864641,0.3850570206079369,-0.8775294165795842,0.3710857545747276,0.4195260517208029,-0.5634181040705208,0.4915626051381869,0.4936720298300365,17.98495301241574,1.0,111.38939074649193,-39.620628233512655,-23.036478637463027,-22.18102636460933,-1.4146946919564567,-36.28730953013938,-7.848007422406019,-37.94964492426162,7.854597439109864,-44.14190696924925,-26.50779143646527,-9.648746071583696,-7.871594940817173,0.7294103632450045,-1.0956403595799382,2001.0,Mexico
3154,25.0,-99.9386503,12387.25,1.3974082234095089,-0.5764786694253631,0.913246519338655,4,654.1424345232776,0.9053260538745604,0.3616228516752655,-0.671776622591998,1.1480800623524274,244,1.971011666175369,0.0462800894550264,-0.716789386740805,2.0421605132185525,0.0057363344215427,2.2557182624742054,2.757830818709612,0.0003343190364576,1.399195583687751,16.73024211210359,1.0,112.75639017331665,7.176313748252062,22.902285385297624,-41.10466479956895,23.38723944769137,13.599995506099528,32.37664600470809,-54.188982844120936,39.55949134110576,-25.959495835006237,-10.6333419267538,-12.817240450591438,-18.261641331032504,0.6429703437059463,-2.039197108372292,2001.0,Mexico
