mean,std,count,dist_mid
0.9612970110468091,0.02360619407066026,92,125.0
0.9363098741508975,0.03693850042878417,39,175.0
0.874569600931442,0.06281870981334275,110,225.0
0.8359039540847706,0.08457022523645807,68,275.0
0.7806347569675591,0.10678986974394003,91,325.0
0.7444299317188652,0.11706559836989942,82,375.0
0.7202841237947971,0.11619111175133098,85,425.0
0.6492561029908351,0.1591088401154094,67,475.0
0.6495389087650392,0.13670473017145543,49,525.0
0.6518200792725769,0.14805730744796497,70,575.0
0.6216061514945403,0.15223907336535136,27,625.0
0.6317078081421095,0.12914973333380694,41,675.0
0.641796168785194,0.12613384496385022,19,725.0
0.63604680484479,0.07338102961044095,12,775.0
0.6655370764693884,0.07987996925975295,7,825.0
0.6049217146026342,0.04765900956800362,2,875.0
