mean,std,count,dist_mid
0.9306614062799845,0.07867072345875496,95,125.0
0.8270942108484773,0.15837047894057704,26,175.0
0.7923078480141147,0.20811078742243527,101,225.0
0.7228021475811799,0.22516017736678431,58,275.0
0.6583991448101502,0.2871896118530267,95,325.0
0.5638531316241148,0.3012220149491667,62,375.0
0.5837513658023795,0.3114610038055865,70,425.0
0.49746325857566803,0.35485644548287815,64,475.0
0.5375736035922699,0.29885561882640327,33,525.0
0.5078207120202173,0.3805014472923531,62,575.0
0.6017843303974374,0.3177468563848886,25,625.0
0.5923148530065284,0.3379825406773117,41,675.0
0.5853480193002462,0.3536112878429128,15,725.0
0.677581146984128,0.25166482475351576,19,775.0
0.7239980581449788,0.2566427481190056,10,825.0
0.6757065837626919,0.2043325205828761,3,875.0
0.4889882697366107,,1,925.0
