mascon_id,lat_center,lon_center,country_of_center,area_km2,frac_area_arabian_peninsula,trend_cm_per_yr,trend_p_value,trend_leakage_uncert_cm_per_yr,leakage_2sigma_cm,noise_sd_cm,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,intermission_step_cm,intermission_step_p,chirps_mean_annual_precip_mm,chirps_annual_cv,precip_adjusted_trend_cm_per_yr,fraction_unexplained_by_precip,variance_snr,residual_over_noise_sd,residual_lag1_autocorr,annual_amplitude_cm,n_months_observed,significant_decline,trend_exceeds_leakage_uncert,precip_control_passed,is_candidate
9128,32.0,47.80327869999999,Iran,12380.52,0.0,-0.3627824751531951,0.0156475090543381,0.0837127008256228,2.0993641890548305,1.0400812026644115,-0.7855177762809085,-1.4462802393345715,8.84990089447688,1.297101409739812e-17,,,,,46.19660224630055,4.092845449481981,0.8509662471478986,7.536124711365255,254,True,True,False,False
9129,32.0,48.9836066,Iran,12380.52,0.0,-0.2006119689594019,0.2347408346647325,0.1276985786549345,2.6030841128739723,1.0948812868743951,-0.8954945300078272,-0.6763581766129563,11.574087481459232,3.0009082170036625e-24,,,,,49.10508807921235,4.401243887290627,0.8682956848343681,8.60594724971328,254,False,True,False,False
9130,32.0,50.16393440000002,Iran,12380.52,0.0,-0.0491101837727612,0.8019413631721837,0.2585426724725859,2.5764430838252763,1.0373485787624337,-0.9495650134425055,0.2010239955501696,12.99475390512833,8.821164393413145e-28,,,,,56.776535937638094,4.924415116325884,0.8929080533500603,8.703802826087955,254,False,False,False,False
9131,32.0,51.3442623,Iran,12380.52,0.0,-0.0521058446868822,0.7832232931528857,0.4103771630590142,2.061217747721215,0.988598247888412,-0.9758473433063832,0.7199940867839525,12.153891858855598,6.3301226792344575e-27,,,,,53.68448355702407,4.896122470833153,0.8965364814748219,7.931182409517254,254,False,False,False,False
9136,31.0,48.506493500000005,Iran,12393.06,0.0,-0.115397689521008,0.2957059336888845,0.3036098647427827,2.231559240844613,0.9435205080497668,-0.5026508301540336,-0.811551578943853,7.480563293123831,1.042144069555549e-15,156.61956733611686,0.2887149316450818,-0.0070087192215662,0.0607353513805868,40.0379709174029,4.028007507863895,0.8217372921925584,6.760610494240596,254,False,False,False,False
9392,31.0,49.6753247,Iran,12393.06,0.0,-0.1899888334153612,0.1969297444772318,0.1810769485092297,2.732338451294168,1.044531327142931,-0.8439087857818626,-0.2913781278250629,10.16287419458012,1.097894852210752e-20,292.5657878469307,0.2582800773935318,-0.1334500446030878,0.702409937490031,46.681607021826544,4.345417410443548,0.8495558661934438,7.952409644845105,254,False,True,True,False
9393,31.0,50.84415580000001,Iran,12393.06,0.0,-0.373427747514234,0.0523295987768916,0.1113807862564606,2.378342301611462,0.9822729926158208,-1.207151228422684,0.0464774826066265,11.66423545028009,2.655454062502509e-24,412.1253353432985,0.2766939864731956,-0.4623963444094323,1.2382484898013828,64.43735482706404,4.939351743185173,0.8804876862126676,8.362293244688125,254,False,True,True,False
9395,30.0,50.3536977,Iran,12401.62,0.0,-0.5081045617972624,0.0004875797928569,0.0412773595197245,2.3540251341724456,1.1066087403977158,-1.184906206908563,-0.3319037194487881,9.900192018420537,3.5307998233615787e-22,331.9120625934254,0.2817420255748241,-0.4075878369366712,0.8021731501385376,41.72356105745202,3.873044164637912,0.8214798693972853,6.7931333460396734,254,True,True,True,False
9396,30.0,51.51125400000001,Iran,12401.62,0.0,-1.0007467999700133,1.472911204965413e-06,0.2482023409663644,2.038804608274816,1.047781516852333,-1.7523233296593066,-0.615784763343397,10.523311524402809,2.836686412883652e-24,347.7814068443452,0.2471445206273826,-1.0154821096270812,1.0147243135401576,83.78232159499258,4.179734217688195,0.8439160484470647,7.287599274740739,254,True,True,True,False
9397,29.0,51.0191083,Iran,12406.28,0.0,-0.9094392084038274,4.272737532690172e-10,0.1528719958547941,2.3221020087511404,1.2452515519410463,-1.5716199909335096,-0.6228511548795894,9.427181010369662,4.252447786030072e-24,237.58511206872453,0.2850480198501849,-0.6467316630344323,0.7111323737289954,43.47652498909845,3.1604942073547484,0.7687713102435071,5.289990043944488,254,True,True,True,False
