mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed,trend_cm_per_yr,trend_p_value,significant_decline,trend_leakage_uncert_cm_per_yr,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,p_grace_only,p_gracefo_only,intermission_step_cm,intermission_step_se_cm,intermission_step_p,trend_with_step_term_cm_per_yr,annual_amplitude_cm,semiannual_amplitude_cm,residual_sd_cm,noise_sd_cm,residual_over_noise_sd,residual_lag1_autocorr,chirps_mean_annual_precip_mm,chirps_annual_cv,chirps_cells,precip_adjusted_trend_cm_per_yr,precip_adjusted_p_value,fraction_unexplained_by_precip,precip_explained_trend_cm_per_yr
9121,32.0,39.5409836,39.5409836,1.0,1.1803279,12380.52,80,6004,Saudi Arabia,1.0,0.5509412899050062,True,1.450497446783504,-0.269187124440556,1.6059977013275877,6.210098232016359,38.56532005129271,0.6673934530460264,56.78498406791096,254,-0.7974655905638177,1.475067356507888e-16,True,0.269187124440556,-0.7929613124103332,-1.7456646616680025,4.503906866721531e-10,3.765702467796681e-15,2.0785817144419854,0.5791571477045285,0.0004002871615351,-0.9167952436052198,1.039432547614742,0.6862678088553866,2.273619899398612,0.8029988506637935,2.831411150239057,0.7365272239089771,,,0,,,,
9141,29.0,44.14012739999998,44.1401274,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.939365466894766,True,1.3786182786523091,-0.3633343661404854,1.5138467866600798,4.963558989275762,24.636917840020217,0.5930017158772497,40.5461156019994,254,-0.6271955485522558,2.8278597711122585e-23,True,0.3633343661404854,-0.6036933450787711,-1.5116661583332638,9.101860005539899e-17,2.8780309136545496e-19,1.6322194117560018,0.489223805297534,0.0009795990055071,-0.7208999118394952,1.1213139439518118,0.68174933739669,1.9140893642675771,0.7569233933300399,2.5287755420619966,0.6336293246580985,108.80165671502864,0.2917867343084878,4,-0.6589553895524447,1.1655728217105012e-19,1.05063786098849,0.0317598410001889
9142,29.0,45.286624200000006,45.2866242,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.6479991179305242,True,1.36575401609257,-0.6195954820752947,1.4845103329712137,3.0933299566114614,9.568690220469865,0.5702411489701911,15.78007670570624,254,-0.2866430862630773,4.045120413263275e-09,True,0.6195954820752947,-0.3071800236084663,-1.214900192588259,2.5692065263755935e-07,2.376745941480157e-13,2.390600190495475,0.4968656572700115,2.6106542767168207e-06,-0.4238854613453195,1.551029507190387,0.7035697122447978,1.9887271413895244,0.7422551664856074,2.679303871747569,0.6677004078674659,127.63343283440918,0.2755379421245157,6,-0.2733184056268678,8.691509098848768e-07,0.953514732171212,-0.0133246806362095
9143,29.0,46.433121,46.433121,1.0,1.1464968,12406.28,80,6004,Saudi Arabia,1.0,0.6879320591239189,True,1.3463496013839422,-0.7557827047611058,1.4550577032374536,2.6495843609972165,7.020297286041028,0.5478384833142733,11.814538408419477,254,-0.0550860539859501,0.1978953698438621,False,0.7557827047611058,-0.1437835337416358,-0.8830793581015342,0.0132824416415423,8.674667946177666e-06,3.222433680722576,0.5041145053872891,8.09280164072369e-10,-0.2400833001359714,2.128167960978682,0.7016025073330078,2.082835788507981,0.7275288516187269,2.862890982087847,0.6795854708016325,121.2156667430342,0.2772422352574933,4,-0.0070425929691311,0.8948500698886778,0.1278471130084457,-0.048043461016819
9144,28.0,44.8580442,44.8580442,1.0,1.1356467,12407.1,80,6004,Saudi Arabia,1.0,1.0,True,1.6047757475172115,0.1004417929131829,1.5569044613261949,8.253572746686041,68.12146308483857,0.6272144129754869,107.60953076902734,254,-1.1212223511789017,1.552657084783165e-65,True,0.1004417929131829,-1.178620059200099,-1.510110586471528,7.970235275681815e-34,1.6041395416254973e-17,1.735526257730775,0.3979679065508181,1.9023687381547312e-05,-1.2208574748501644,1.1464681784140511,0.7040524473726784,1.5806582917372738,0.778452230663098,2.0305141786167717,0.4598864889709684,141.2446091300808,0.3007343837290689,4,-1.0701078477104655,2.8068105665092527e-56,0.9544118047462292,-0.0511145034684357
9155,31.0,37.98701299999999,37.987013,1.0,1.1688312,12393.06,80,6005,Saudi Arabia,1.0,0.8554131293517118,True,1.3514928088451477,0.4488660476985388,1.6367150084546618,11.357935439824931,129.0026974552312,0.6931675653889241,185.1060786692321,254,-1.5515487982602334,2.7970686570113726e-48,True,0.4488660476985388,-1.517326041294287,-2.2662681955665,1.2127561503205067e-34,2.8171016888397922e-22,1.0899604102910097,0.4847782639181041,0.0254349696021339,-1.614122521816637,1.546761911794979,0.7344604395875098,1.874240499596356,0.8183575042273313,2.290246609720965,0.595039858783812,98.217326052053,0.1685012072260059,4,-1.55012450385268,2.2702917255407587e-47,0.9990820176528444,-0.0014242944075535
9156,31.0,39.15584419999999,39.1558442,1.0,1.1688312,12393.06,80,6005,Saudi Arabia,1.0,1.0,True,1.3457972411397896,0.2236273721073909,1.5275614114455496,9.815547957664148,96.34498170920484,0.6037949288320834,158.56573516701158,254,-1.3295653773826135,1.974960781338848e-33,True,0.2236273721073909,-1.2869282619110287,-2.19172651259236,2.350984111852404e-25,2.7458614654130275e-22,1.3042381419176583,0.5175300257389731,0.0123628315896773,-1.4044406078712923,1.4816694413875957,0.6840807001360267,2.006001485312846,0.7637807057227746,2.6264102644679186,0.6663772808629201,101.81310066055934,0.2835218383242845,6,-1.3268267876106996,2.5031257845984704e-33,0.9979402368484466,-0.0027385897719138
9158,30.0,37.6205788,37.6205788,1.0,1.1575563,12401.62,80,6005,Saudi Arabia,1.0,0.7218312763440606,True,1.3348564881414078,0.7462067658282524,1.6584703378427317,13.562153639797565,183.93201134947435,0.7117172963074303,257.4340893550856,254,-1.868609862441684,5.970060827019593e-82,True,0.7462067658282524,-1.8378918648345248,-2.340841564418102,7.81511536747192e-48,7.535261456321296e-26,0.5938835695250306,0.4379293927919335,0.1763002979719407,-1.9027042258270712,0.927820888978459,0.7518873152418887,1.6822779235027567,0.8292351689213654,2.028710294199164,0.4613604401579252,87.24386455777415,0.2028128697638503,4,-1.8677249506004137,1.203376650873335e-80,0.999526433067139,-0.0008849118412703
9159,30.0,38.77813499999999,38.778135,1.0,1.1575563,12401.62,80,6005,Saudi Arabia,1.0,1.0,True,1.3700115138210889,0.6425106834718392,1.5839427024213018,12.99974209939394,168.99329465075522,0.6491888290490073,259.31454499658054,254,-1.7872176434787246,9.361682930039724e-66,True,0.6425106834718392,-1.7507487033113227,-2.3681033855907665,4.698395587294008e-41,3.5328684532823927e-25,0.7604633751095258,0.4531896329278152,0.0946070706852307,-1.830875215404816,1.3035694350646534,0.6947721076440492,1.7443124032454689,0.7919713512106505,2.2024943207592265,0.5279504324536002,107.2946984699835,0.3346374969175401,6,-1.7857857784888918,3.6630962487681823e-67,0.9991988300948922,-0.0014318649898328
9160,29.0,37.2611465,37.2611465,1.0,1.1464968,12406.28,80,6005,Saudi Arabia,1.0,1.0,True,1.3837977967957849,0.6054096664347705,1.6876101331844595,12.59007414013128,158.5099668540024,0.736947164511612,214.09000168153136,254,-1.733814277367227,1.331411826734307e-110,True,0.6054096664347705,-1.7182896457841617,-1.927378179430874,2.806713420867451e-52,1.1212211014900201e-23,0.1943972007935484,0.4046512355105551,0.6313633670922056,-1.7449744595057175,0.5549158171158888,0.7859313086173342,1.5494106248646176,0.8438050665922306,1.8362186791814692,0.3406152566745674,66.09416051812588,0.2278478467216367,6,-1.732400785228628,1.8897283843258122e-107,0.9991847499717528,-0.0014134921385988
