mascon_id,lat_center,lon_center,country_of_center,trend_cm_per_yr,precip_adjusted_trend_cm_per_yr,precip_adjusted_p_value,fraction_unexplained_by_precip,leakage_trend_uncert_cm_per_yr
9238,27.0,43.3125,Saudi Arabia,-2.1286740114503955,-2.0974310920312087,1.1270682853824058e-104,0.9853228257351162,0.974392608224469
9247,26.0,44.024767800000006,Saudi Arabia,-2.115046666218837,-2.070452935205358,2.4033351032386667e-101,0.9789159588174944,1.009406816466328
9226,28.0,39.17981069999999,Saudi Arabia,-1.6141359572378091,-1.6134557415922504,3.627762980932686e-110,0.9995785883819088,0.4222659746796696
9156,31.0,39.15584419999999,Saudi Arabia,-1.3295653773826135,-1.3268267876106996,2.5031257845984704e-33,0.9979402368484466,0.2236273721073909
9249,26.0,46.253870000000006,Saudi Arabia,-1.3486816773304424,-1.319205552890586,8.734543641000312e-69,0.9781444910720511,0.3893963692490669
9268,24.0,44.316109400000016,Saudi Arabia,-1.1581572161407985,-1.1438693796686623,8.605180983559089e-108,0.9876633014300544,0.2524583692625895
9269,24.0,45.41033429999999,Saudi Arabia,-1.094475305681048,-1.079517943292276,5.358209732953671e-107,0.9863337598289028,0.2263786790052465
9250,26.0,47.368421100000006,Saudi Arabia,-0.8781349724102605,-0.857708932290293,2.5311109664327988e-55,0.9767392932046618,0.0324345502079071
9271,24.0,47.59878420000001,Saudi Arabia,-0.7318052610825456,-0.7055572510778314,1.4803964448687464e-68,0.9641325207666775,0.0279625355648949
9284,23.0,44.048338400000006,Saudi Arabia,-0.6270624332890187,-0.6197863110859377,5.621167604145576e-72,0.9883964948036884,-0.1640884334972475
9180,24.0,41.03343469999999,Saudi Arabia,-0.5676506591824592,-0.5673015433066682,6.578516922895594e-78,0.999384981114452,-0.2887388935859324
9283,23.0,42.96072509999999,Saudi Arabia,-0.5142924206071979,-0.5121153281746745,1.608398669518528e-67,0.9957668199155004,-0.2697773625051566
9273,24.0,49.78723400000001,Saudi Arabia,-0.3347835625274717,-0.315105408599842,3.3136284391873263e-28,0.9412212661246924,-0.1491747060352103
9320,21.0,43.392857100000015,Saudi Arabia,-0.30272201117525,-0.2979148323749759,1.5953596065298052e-34,0.9841201543897938,-0.2837135924373333
9296,23.0,57.0996979,Oman,-0.2508045302155006,-0.2442636692518048,6.90491249836458e-17,0.9739204831823588,-0.2211109868079588
9179,24.0,39.93920969999999,Saudi Arabia,-0.2340417397002453,-0.2340233828797774,1.120693381248664e-29,0.9999215660399235,-0.5780429075782497
9334,21.0,58.392857100000015,Oman,-0.2354581888813365,-0.2237125152180095,5.767360883174401e-18,0.9501156714101524,-0.0915050886534884
9187,17.0,43.43023260000001,Yemen,-0.2141556917024323,-0.1871377006867685,5.479720933693468e-16,0.8738394912557119,0.037270684068219
9233,28.0,48.264984200000015,Saudi Arabia,-0.2537474343374459,-0.1835851557187185,0.0016795600854211,0.7234956136525025,-0.4983372813592865
9291,23.0,51.661631400000005,Saudi Arabia,-0.1913016111613083,-0.1743021467962726,1.8665179235844e-12,0.9111378923479037,-0.088060873107729
9310,22.0,52.43243240000001,Saudi Arabia,-0.2049044432716473,-0.1732650760443624,7.514476257871284e-18,0.8455896479251076,-0.0001389578318077
9300,22.0,41.6216216,Saudi Arabia,-0.1419365036753974,-0.1484176046143439,5.44313754567394e-18,1.045661973989218,-0.5035244955151689
9205,14.0,44.87106019999999,Yemen,-0.150576123782586,-0.1268262582660802,1.4508307582633131e-09,0.8422733636655587,0.2701907799652248
9201,15.0,49.13793100000001,Yemen,-0.103775913178032,-0.0944775260610387,8.048026577997431e-09,0.9103993707957884,0.1250945073798956
9202,15.0,50.172413800000015,Yemen,-0.088982308152048,-0.0705777396866467,8.615149644540762e-05,0.7931659804334077,0.124213632568717
9359,19.0,51.3529412,Saudi Arabia,-0.0647673467662265,-0.008316389184517,0.6345284117962902,0.1284040430826124,-0.0218862307604913
9143,29.0,46.433121,Saudi Arabia,-0.0550860539859501,-0.0070425929691311,0.8948500698886778,0.1278471130084457,-0.7557827047611058
9204,14.0,43.8395415,Yemen,-0.0127112224106338,0.0189973655063656,0.3682959772976083,-1.4945348993715202,0.2079109235922349
9361,19.0,53.47058820000001,Oman,0.0100320327263344,0.0579625060513544,0.0011590304356406,5.777742919358773,-0.1367611882842931
9210,13.0,43.58974359999999,Yemen,0.1586604853580639,0.1708242973665514,7.73593306186974e-12,1.0766656674535962,0.190477998651491
