mascon_id,lat_center,lon_center,country_of_center,area_km2,frac_area_arabian_peninsula,trend_cm_per_yr,trend_p_value,trend_leakage_uncert_cm_per_yr,leakage_2sigma_cm,noise_sd_cm,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,intermission_step_cm,intermission_step_p,chirps_mean_annual_precip_mm,chirps_annual_cv,precip_adjusted_trend_cm_per_yr,fraction_unexplained_by_precip,variance_snr,residual_over_noise_sd,residual_lag1_autocorr,annual_amplitude_cm,n_months_observed,significant_decline,trend_exceeds_leakage_uncert,precip_control_passed,is_candidate,depletion_2002_2026_cm,volume_km3_per_yr
9238,27.0,43.3125,Saudi Arabia,12404.16,1.0,-2.1286740114503955,1.583086496873587e-113,0.974392608224469,1.3525298076931351,0.8016422989339407,-2.1799828624013085,-2.0614928888481847,0.6381463523050506,0.0959341919866926,153.4780041166232,0.3150838379575421,-2.0974310920312087,0.9853228257351162,355.0462314268515,1.8332297833843856,0.3772608739636889,1.1331366829440024,254,True,True,True,True,-50.91788235389346,-0.26404413025872536
9246,26.0,42.91021670000001,Saudi Arabia,12397.52,1.0,-2.128182711261396,1.0821988280009916e-131,0.9932341882612044,1.1251999088343072,0.8076463707510089,-2.180550411707148,-1.9856199341774583,0.4912755669204478,0.1687120314421086,138.1955825505429,0.3157712184624295,-2.1011596714145497,0.9873022933116354,349.3234464738164,1.692977397335969,0.3264744933277071,1.22963681688603,254,True,True,True,True,-50.90613045337259,-0.26384187726517383
9247,26.0,44.024767800000006,Saudi Arabia,12397.52,1.0,-2.115046666218837,1.749326827062752e-113,1.009406816466328,1.1573789458235118,0.7688347327885829,-2.186121735240982,-1.9704345570440476,0.7556889905602324,0.0361701646500119,167.21262924499268,0.3318899806136361,-2.070452935205358,0.9789159588174944,380.6142456541205,1.8017661260763604,0.3863461101334996,1.010977314586113,254,True,True,True,True,-50.59191625595459,-0.26221333345381354
9237,27.0,42.1875,Saudi Arabia,12404.16,1.0,-2.1044447094083254,2.661222904844501e-118,0.9183629646404264,1.2657157770323917,0.780636407018963,-2.131373217023025,-2.032951386405677,0.2706117215969534,0.471842037532051,111.08431608687778,0.3434560874628063,-2.088566337599202,0.9924548401114384,366.46976403062905,1.843093173153852,0.361647395487251,1.4382321877225732,254,True,True,True,True,-50.338317449047146,-0.26103868886654374
9239,27.0,44.4375,Saudi Arabia,12404.16,1.0,-1.8755029070385516,2.841097451030138e-103,0.7763981406430842,1.4649417246393677,0.7928502407801279,-1.9483836294371035,-1.8774074405999184,1.099886135676607,0.0041090525571452,154.14007777154137,0.3211934060582364,-1.8121544543420696,0.9662232180719412,282.1752979467381,1.8637461223624845,0.393281349419075,0.8382041931446464,254,True,True,True,True,-44.86202953636216,-0.2326403813937132
9158,30.0,37.6205788,Saudi Arabia,12401.62,0.7218312763440606,-1.868609862441684,5.970060827019593e-82,0.7462067658282524,1.3348564881414078,0.8292351689213654,-1.8378918648345248,-2.340841564418102,0.5938835695250306,0.1763002979719407,87.24386455777415,0.2028128697638503,-1.8677249506004137,0.999526433067139,257.4340893550856,2.028710294199164,0.4613604401579252,0.927820888978459,254,True,True,True,True,-44.697147909605086,-0.23173789442254036
9228,28.0,41.45110410000001,Saudi Arabia,12407.1,1.0,-1.854438407090152,1.1036088392670129e-96,0.661876583364153,1.3634896470659217,0.7285317276685538,-1.8467457943073595,-1.9843553072758773,0.2064841202946686,0.5950545053326259,100.87074763442313,0.3192107637429203,-1.859400718720699,1.0026759107294014,328.4599120178687,2.039302443986935,0.4170928275907249,1.582461451770221,254,True,True,True,True,-44.35816669759644,-0.2300820276060823
9245,26.0,41.79566560000001,Saudi Arabia,12397.52,1.0,-1.8406260049141456,5.9111903604509655e-136,0.7095095960258999,1.1245902308305755,0.7942349549554619,-1.8778752027891497,-1.7599703368193536,0.40581705412593,0.245773891248942,108.27579860948995,0.3174695005970502,-1.8292792364162336,0.9938353753192564,270.9839303971883,1.6854158504660155,0.289801378294828,1.3218297056856598,254,True,True,True,True,-44.027774037546365,-0.22819197708443217
9161,29.0,38.40764329999999,Saudi Arabia,12406.28,1.0,-1.8399366579852348,2.511382118020276e-101,0.6663206856953455,1.344747957554592,0.8052204289004886,-1.8232230431035288,-2.1199458869461862,0.3765387530978858,0.3574987635505426,97.06986873257904,0.2953689669143008,-1.838584390756772,0.999265046857676,264.37175339003693,1.9447171928994431,0.3870617683464753,0.77391765054573,254,True,True,True,True,-44.01128485900682,-0.2282676936122906
9236,27.0,41.0625,Saudi Arabia,12404.16,1.0,-1.8315181923721535,1.1232937319341383e-127,0.6267263491181474,1.236765367768775,0.7902959356464734,-1.8509567929367596,-1.8057335903061031,0.2606706863987141,0.4826713313027808,98.12639901555184,0.3357210718360043,-1.823333376397592,0.9955311303984584,271.71138675729105,1.797289178312755,0.3055195369624536,1.4555910393374925,254,True,True,True,True,-43.809915161541916,-0.22718444701094972
9248,26.0,45.139318900000006,Saudi Arabia,12397.52,1.0,-1.8141961163416915,6.221244130812684e-95,0.7663483543047572,1.207296859834148,0.7347117683366936,-1.9202208892170216,-1.7079367113406545,1.3657793211186944,0.0002035822835412,145.79076053613488,0.2988405206630896,-1.759417027117828,0.9698053100596836,307.49619351770343,1.9402336613275732,0.427745670641856,0.818003148051806,254,True,True,True,True,-43.395571102893264,-0.22491532636268452
