mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed,trend_cm_per_yr,trend_p_value,significant_decline,trend_leakage_uncert_cm_per_yr,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,p_grace_only,p_gracefo_only,intermission_step_cm,intermission_step_se_cm,intermission_step_p,trend_with_step_term_cm_per_yr,annual_amplitude_cm,semiannual_amplitude_cm,residual_sd_cm,noise_sd_cm,residual_over_noise_sd,residual_lag1_autocorr,chirps_mean_annual_precip_mm,chirps_annual_cv,chirps_cells,precip_adjusted_trend_cm_per_yr,precip_adjusted_p_value,fraction_unexplained_by_precip,precip_explained_trend_cm_per_yr
9039,32.0,34.81967209999999,34.8196721,1.0,1.1803279,12380.52,80,6002,Israel,0.5985734489794278,0.0,False,1.5305640661484583,-0.1366590707078941,1.8597392261528227,6.114294483121945,37.384597026335456,0.8949447119357774,40.7730799766078,254,-0.7814031934680941,5.703145830272394e-35,True,0.1366590707078941,-0.7064785006411476,-1.4185087503784832,5.9380498165833874e-18,1.033793871302995e-15,0.3288672581358227,0.5115090972429971,0.5208624672372074,-0.8002831901203102,2.042193776354494,0.7800670226531822,1.9592927024681728,0.9298696130764114,2.1070617588911027,0.5522882343701927,,,0,,,,
9041,31.0,34.480519500000014,34.4805195,1.0,1.1688312,12393.06,80,6002,Israel,0.9147349276513964,0.0,False,1.5556734181556653,0.0988160540089559,1.9211416205268697,7.206034919545602,51.926939261710594,0.9550164781256314,53.372820208951055,254,-0.9597291638556792,1.9166957906710838e-47,True,0.0988160540089559,-0.8710516749464156,-1.5488188938658578,2.204068413291452e-26,6.611795713005773e-16,-0.0045231545399418,0.5058429180273835,0.9928727755671072,-0.9594694933033232,1.054716446317351,0.759448803202614,1.9359699018229717,0.9605708102634348,2.0154369476332885,0.4985951948346371,190.86889466903813,0.1673571086527198,4,-0.9593663764799129,5.619533302283427e-47,0.999621989838978,-0.0003627873757664
9043,30.0,34.14791,34.14791,1.0,1.1575563,12401.62,80,6002,Egypt,1.0,0.0,False,1.4515237352573975,0.1482567694083948,1.816684923332101,6.9426284164719405,48.200089329203685,0.8539871332147148,55.44123600289059,254,-0.9314795593419772,8.839156748628338e-56,True,0.1482567694083948,-0.8693730257941918,-1.3721237904280208,1.1208360245374233e-30,1.1882911625066084e-12,0.0458896294976167,0.4645179773399144,0.9213853075852132,-0.9341140449280376,0.1307506915388717,0.6824175159147455,1.777845278748849,0.9083424616660506,1.957241187963388,0.4509042566765584,135.5743304438268,0.190856999701509,4,-0.9284651823204244,2.3661666358610943e-54,0.9967638828020208,-0.0030143770215528
9121,32.0,39.5409836,39.5409836,1.0,1.1803279,12380.52,80,6004,Saudi Arabia,1.0,0.5509412899050062,True,1.450497446783504,-0.269187124440556,1.6059977013275877,6.210098232016359,38.56532005129271,0.6673934530460264,56.78498406791096,254,-0.7974655905638177,1.475067356507888e-16,True,0.269187124440556,-0.7929613124103332,-1.7456646616680025,4.503906866721531e-10,3.765702467796681e-15,2.0785817144419854,0.5791571477045285,0.0004002871615351,-0.9167952436052198,1.039432547614742,0.6862678088553866,2.273619899398612,0.8029988506637935,2.831411150239057,0.7365272239089771,,,0,,,,
9122,32.0,40.72131150000001,40.7213115,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.2598926233020984,False,1.3652888030924473,-0.4646274152403588,1.5166496118988717,4.841195441449623,23.437173302312605,0.5951995853409329,38.37699870689206,254,-0.5655412312984751,3.919785613717808e-08,True,0.4646274152403588,-0.549648968256927,-1.755592435862802,4.460663260319335e-05,1.6620567971849994e-12,2.4558804751389696,0.6559093356440265,0.0002251693956378,-0.7065312934034734,0.6241959593308334,0.6426533750751404,2.580563297391973,0.758324805949436,3.4029788781089167,0.8022469191824763,,,0,,,,
9123,32.0,41.9016393,41.9016393,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2484756318518049,-0.5776309728526565,1.463389875290536,4.110694461442964,16.897808955337855,0.5541306791280293,29.494267131947943,254,-0.3947708155860996,0.0006149117383681,True,0.5776309728526565,-0.3628718213068406,-1.8336872723208488,0.0128451955137758,7.978116624370933e-10,2.772481878051404,0.7413771542707814,0.000229103457178,-0.5539367017635736,0.7187433317624825,0.6395416720070894,2.9166294765059577,0.7316949376452676,3.986127724065198,0.8507604662935337,,,0,,,,
9124,32.0,43.08196720000001,43.0819672,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2017214015962012,-0.5690547231342826,1.5590796185243825,4.147279094210787,17.199923885277844,0.628968204561885,26.34625337263057,254,-0.3315723371800758,0.0107025321078335,True,0.5690547231342826,-0.2964531032310558,-1.9743797452117504,0.0712598727150054,3.5513770647868584e-08,3.1884211776547606,0.8273754940136495,0.0001484054231031,-0.5146169537260011,1.2900343560691752,0.6661380596379295,3.2603474056274115,0.7795398092621912,4.182400137734112,0.8701228618866347,,,0,,,,
9125,32.0,44.26229510000002,44.2622951,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.3006503275346504,-0.4651516032455416,1.6362621841031262,4.633580606219431,21.47006923433284,0.6927840658411211,29.990997473744805,254,-0.3567171422312942,0.0142418460781439,True,0.4651516032455416,-0.3503884981515484,-2.080355049601692,0.0697867048631792,3.419192033040376e-07,3.8117072235624425,0.8767215822810456,2.0125650582417265e-05,-0.5755440939565115,2.3785274469719635,0.6589642309691703,3.481425941941638,0.8181310920515635,4.255339976398571,0.8791439060474967,,,0,,,,
9126,32.0,45.442623,45.442623,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.4220457215164148,-0.3040128925986424,1.719798576446825,5.473114077020786,29.954977700083088,0.7653274203279724,38.140081623164924,254,-0.4166997153310943,0.0072071728044392,True,0.3040128925986424,-0.4883857302056213,-2.0943465482694887,0.027863686083902,8.878064436714623e-06,4.883176718032491,0.9022287728588174,1.4709758309269328e-07,-0.6970388424647651,3.9768082461522543,0.5881679624174592,3.652047365512906,0.8598992882234127,4.247064063814016,0.8767344387737531,,,0,,,,
9127,32.0,46.62295080000001,46.6229508,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.6320599539583414,-0.1511840537051195,1.8747863176302548,6.4484023060389495,41.581892300528445,0.9094852373197234,44.720249866915225,254,-0.4381050566207447,0.0036465201106499,True,0.1511840537051195,-0.6439756982030715,-1.9150043647138744,0.0111049169747078,9.056715574429688e-05,6.457148385213639,0.9244431883481992,2.6294797898980763e-11,-0.8088045923141278,5.855569497742248,0.4353230186072142,3.871734312790208,0.937393158815128,4.130320641217511,0.8593101570835299,,,0,,,,
