mascon_id,lat_center,lon_center,lon_center_0_360,lat_span_deg,lon_span_deg,area_km2,gsfc_location_code,gsfc_basin_code,country_of_center,frac_area_land,frac_area_arabian_peninsula,on_arabian_peninsula,leakage_2sigma_cm,leakage_trend_uncert_cm_per_yr,mean_noise_2sigma_cm,series_std_cm,signal_variance_cm2,noise_variance_cm2,variance_snr,n_months_observed,tws_trend_cm_per_yr,tws_p_value,gws_trend_cm_per_yr,gws_p_value,gws_significant_decline,gws_trend_noah_cm_per_yr,nongw_trend_noah_cm_per_yr,gws_trend_vic_cm_per_yr,nongw_trend_vic_cm_per_yr,gws_trend_clsm_cm_per_yr,nongw_trend_clsm_cm_per_yr,gws_model_spread_cm_per_yr,gws_mean_ensemble_spread_cm,n_models,gws_precip_adjusted_trend_cm_per_yr,gws_fraction_unexplained_by_precip
9039,32.0,34.81967209999999,34.8196721,1.0,1.1803279,12380.52,80,6002,Israel,0.5985734489794278,0.0,False,1.5305640661484583,-0.1366590707078941,1.8597392261528227,6.114294483121945,37.384597026335456,0.8949447119357774,40.7730799766078,254,-0.7812423587397463,8.29907394832083e-35,-0.697489963162623,4.4839526634728195e-37,True,-0.6006715670140571,-0.18057079172568935,-0.7124782300030572,-0.06876412873668913,-0.7793200924707551,-0.0019222662689913905,0.17864852545669796,2.8266093187688712,3,-0.7035414546747534,1.008676098340815
9041,31.0,34.480519500000014,34.4805195,1.0,1.1688312,12393.06,80,6002,Israel,0.9147349276513964,0.0,False,1.5556734181556653,0.0988160540089559,1.9211416205268697,7.206034919545602,51.926939261710594,0.9550164781256314,53.372820208951055,254,-0.9596622968977631,2.492887494642929e-47,-0.9683976220035728,1.4340861096450083e-59,True,-0.9208662789384526,-0.03879601795931009,-1.0250694475712674,0.06540715067350422,-0.959257139500998,-0.0004051573967652211,0.10420316863281476,1.5611273398202161,3,-0.9714435422217718,1.0031453198035505
9043,30.0,34.14791,34.14791,1.0,1.1575563,12401.62,80,6002,Egypt,1.0,0.0,False,1.4515237352573975,0.1482567694083948,1.816684923332101,6.9426284164719405,48.200089329203685,0.8539871332147148,55.44123600289059,254,-0.9315381514390517,1.3187396575121048e-55,-0.955183853800264,9.782775889085067e-65,True,-1.0013529863038992,0.06981483486484752,-0.9321089577709252,0.0005708063318733969,-0.9320896173259687,0.0005514658869171241,0.0692633689779305,1.0024750298180731,3,-0.9541084638871224,0.9988741540082958
9121,32.0,39.5409836,39.5409836,1.0,1.1803279,12380.52,80,6004,Saudi Arabia,1.0,0.5509412899050062,True,1.450497446783504,-0.269187124440556,1.6059977013275877,6.210098232016359,38.56532005129271,0.6673934530460264,56.78498406791096,254,-0.7973220468411162,1.6550871967387034e-16,-0.8518783685754138,1.6549545013212678e-23,True,-0.9472704516441166,0.14994840480300042,-0.8098708395607107,0.012548792719594581,-0.7984938145214141,0.0011717676802977528,0.1487766371227025,1.2978900922668508,3,-0.8491555579124892,0.9968037565415848
9122,32.0,40.72131150000001,40.7213115,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.2598926233020984,False,1.3652888030924473,-0.4646274152403588,1.5166496118988717,4.841195441449623,23.437173302312605,0.5951995853409329,38.37699870689206,254,-0.5653455653568162,4.0604636530201e-08,-0.6744838218443281,7.519560545810834e-16,True,-0.6758040395895449,0.11045847423272848,-0.7824316482875453,0.21708608293072884,-0.5652157776558924,-0.0001297877009243109,0.21721587063165293,2.1953290095812057,3,-0.6783249733862938,1.0056949498528553
9123,32.0,41.9016393,41.9016393,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2484756318518049,-0.5776309728526565,1.463389875290536,4.110694461442964,16.897808955337855,0.5541306791280293,29.494267131947943,254,-0.3944880196386071,0.0006285482982003828,-0.523149726797335,8.2906834872159e-09,True,-0.3936707766803382,-0.0008172429582689045,-0.7805018116060612,0.38601379196745395,-0.39527659210560473,0.0007885724669977057,0.38683103492572307,3.4652761972817667,3,-0.5056795845649033,0.9666058465912197
9124,32.0,43.08196720000001,43.0819672,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.2017214015962012,-0.5690547231342826,1.5590796185243825,4.147279094210787,17.199923885277844,0.628968204561885,26.34625337263057,254,-0.3311604024014253,0.010989931864018037,-0.39935202854648383,0.0001500807764563271,True,-0.26646483618034655,-0.06469556622107886,-0.5994510618515771,0.26829065945015196,-0.3321401876075273,0.0009797852061023682,0.3329862256712306,3.004187925904485,3,-0.3396070182265106,0.8503951249792663
9125,32.0,44.26229510000002,44.2622951,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.3006503275346504,-0.4651516032455416,1.6362621841031262,4.633580606219431,21.47006923433284,0.6927840658411211,29.990997473744805,254,-0.3561613612572492,0.015070702419058234,-0.48290451529476264,3.063609052138603e-05,True,-0.3547891243983842,-0.0013722368588648948,-0.7351699053258262,0.37900854406857665,-0.3587545161600776,0.0025931549028280765,0.38038078092744193,3.2608542888442043,3,-0.4382366934392365,0.907501751504102
9126,32.0,45.442623,45.442623,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.4220457215164148,-0.3040128925986424,1.719798576446825,5.473114077020786,29.954977700083088,0.7653274203279724,38.140081623164924,254,-0.415992100789917,0.007763839160397799,-0.44197161060117285,2.3021886165845286e-05,True,-0.31436233494121457,-0.1016297658487022,-0.6018195479268922,0.1858274471369754,-0.409732948935412,-0.0062591518545043745,0.2874572129856776,2.9156820455231065,3,-0.3518850952306636,0.7961712625659983
9127,32.0,46.62295080000001,46.6229508,1.0,1.1803279,12380.52,80,6004,Iraq,1.0,0.0,False,1.6320599539583414,-0.1511840537051195,1.8747863176302548,6.4484023060389495,41.581892300528445,0.9094852373197234,44.720249866915225,254,-0.437256912046057,0.003683877701593554,-0.31070688611794717,5.940411439906897e-05,True,-0.2451444521737387,-0.19211245987231784,-0.26391356046063974,-0.17334335158541725,-0.4230626457194626,-0.01419426632659404,0.1779181935457239,3.124709652793028,3,-0.26604445698573653,0.8562554255226376
