mascon_id,lat_center,lon_center,country_of_center,area_km2,frac_area_arabian_peninsula,trend_cm_per_yr,trend_p_value,trend_leakage_uncert_cm_per_yr,leakage_2sigma_cm,noise_sd_cm,trend_grace_only_cm_per_yr,trend_gracefo_only_cm_per_yr,intermission_step_cm,intermission_step_p,chirps_mean_annual_precip_mm,chirps_annual_cv,precip_adjusted_trend_cm_per_yr,fraction_unexplained_by_precip,variance_snr,residual_over_noise_sd,residual_lag1_autocorr,annual_amplitude_cm,n_months_observed,significant_decline,trend_exceeds_leakage_uncert,precip_control_passed,is_candidate
9039,32.0,34.81967209999999,Israel,12380.52,0.0,-0.7814031934680941,5.703145830272394e-35,0.1366590707078941,1.5305640661484583,0.9298696130764114,-0.7064785006411476,-1.4185087503784832,0.3288672581358227,0.5208624672372074,,,,,40.7730799766078,2.1070617588911027,0.5522882343701927,2.042193776354494,254,True,True,False,False
9041,31.0,34.480519500000014,Israel,12393.06,0.0,-0.9597291638556792,1.9166957906710838e-47,0.0988160540089559,1.5556734181556653,0.9605708102634348,-0.8710516749464156,-1.5488188938658578,-0.0045231545399418,0.9928727755671072,190.86889466903813,0.1673571086527198,-0.9593663764799129,0.999621989838978,53.372820208951055,2.0154369476332885,0.4985951948346371,1.054716446317351,254,True,True,True,False
9043,30.0,34.14791,Egypt,12401.62,0.0,-0.9314795593419772,8.839156748628338e-56,0.1482567694083948,1.4515237352573975,0.9083424616660506,-0.8693730257941918,-1.3721237904280208,0.0458896294976167,0.9213853075852132,135.5743304438268,0.190856999701509,-0.9284651823204244,0.9967638828020208,55.44123600289059,1.957241187963388,0.4509042566765584,0.1307506915388717,254,True,True,True,False
9121,32.0,39.5409836,Saudi Arabia,12380.52,0.5509412899050062,-0.7974655905638177,1.475067356507888e-16,0.269187124440556,1.450497446783504,0.8029988506637935,-0.7929613124103332,-1.7456646616680025,2.0785817144419854,0.0004002871615351,,,,,56.78498406791096,2.831411150239057,0.7365272239089771,1.039432547614742,254,True,True,False,False
9122,32.0,40.72131150000001,Iraq,12380.52,0.2598926233020984,-0.5655412312984751,3.919785613717808e-08,0.4646274152403588,1.3652888030924473,0.758324805949436,-0.549648968256927,-1.755592435862802,2.4558804751389696,0.0002251693956378,,,,,38.37699870689206,3.4029788781089167,0.8022469191824763,0.6241959593308334,254,True,True,False,False
9123,32.0,41.9016393,Iraq,12380.52,0.0,-0.3947708155860996,0.0006149117383681,0.5776309728526565,1.2484756318518049,0.7316949376452676,-0.3628718213068406,-1.8336872723208488,2.772481878051404,0.000229103457178,,,,,29.494267131947943,3.986127724065198,0.8507604662935337,0.7187433317624825,254,True,False,False,False
9124,32.0,43.08196720000001,Iraq,12380.52,0.0,-0.3315723371800758,0.0107025321078335,0.5690547231342826,1.2017214015962012,0.7795398092621912,-0.2964531032310558,-1.9743797452117504,3.1884211776547606,0.0001484054231031,,,,,26.34625337263057,4.182400137734112,0.8701228618866347,1.2900343560691752,254,True,False,False,False
9125,32.0,44.26229510000002,Iraq,12380.52,0.0,-0.3567171422312942,0.0142418460781439,0.4651516032455416,1.3006503275346504,0.8181310920515635,-0.3503884981515484,-2.080355049601692,3.8117072235624425,2.0125650582417265e-05,,,,,29.990997473744805,4.255339976398571,0.8791439060474967,2.3785274469719635,254,True,False,False,False
9126,32.0,45.442623,Iraq,12380.52,0.0,-0.4166997153310943,0.0072071728044392,0.3040128925986424,1.4220457215164148,0.8598992882234127,-0.4883857302056213,-2.0943465482694887,4.883176718032491,1.4709758309269328e-07,,,,,38.140081623164924,4.247064063814016,0.8767344387737531,3.9768082461522543,254,True,True,False,False
9127,32.0,46.62295080000001,Iraq,12380.52,0.0,-0.4381050566207447,0.0036465201106499,0.1511840537051195,1.6320599539583414,0.937393158815128,-0.6439756982030715,-1.9150043647138744,6.457148385213639,2.6294797898980763e-11,,,,,44.720249866915225,4.130320641217511,0.8593101570835299,5.855569497742248,254,True,True,False,False
