lat_center,lon_center,lat_span,lon_span,area_km2,location,mascon_id,lon_180,lat_min,lat_max,lon_min,lon_max
33.0,44.8504983,1.0,1.1960133,12405.01,80.0,9115,44.8504983,32.5,33.5,44.252491649999996,45.44850495
33.0,46.0465116,1.0,1.1960133,12405.01,80.0,9116,46.0465116,32.5,33.5,45.44850495,46.644518250000004
33.0,47.2425249,1.0,1.1960133,12405.01,80.0,9117,47.24252490000001,32.5,33.5,46.644518250000004,47.84053155000001
33.0,48.4385382,1.0,1.1960133,12405.01,80.0,9118,48.43853820000001,32.5,33.5,47.84053155000001,49.03654485000001
33.0,49.6345515,1.0,1.1960133,12405.01,80.0,9119,49.634551499999986,32.5,33.5,49.036544849999984,50.23255814999999
32.0,43.0819672,1.0,1.1803279,12380.52,80.0,9123,43.08196720000001,31.5,32.5,42.49180325000001,43.672131150000006
32.0,44.2622951,1.0,1.1803279,12380.52,80.0,9124,44.26229510000002,31.5,32.5,43.67213115000002,44.852459050000014
32.0,45.442623,1.0,1.1803279,12380.52,80.0,9125,45.442623,31.5,32.5,44.85245905,46.032786949999995
32.0,46.6229508,1.0,1.1803279,12380.52,80.0,9126,46.62295080000001,31.5,32.5,46.032786850000015,47.21311475000001
32.0,47.8032787,1.0,1.1803279,12380.52,80.0,9127,47.80327869999999,31.5,32.5,47.213114749999995,48.39344264999999
32.0,48.9836066,1.0,1.1803279,12380.52,80.0,9128,48.9836066,31.5,32.5,48.393442650000004,49.57377055
32.0,50.1639344,1.0,1.1803279,12380.52,80.0,9129,50.16393440000002,31.5,32.5,49.57377045000002,50.754098350000014
32.0,51.3442623,1.0,1.1803279,12380.52,80.0,9130,51.3442623,31.5,32.5,50.75409835,51.934426249999994
31.0,43.8311688,1.0,1.1688312,12393.06,80.0,9131,43.8311688,30.5,31.5,43.2467532,44.4155844
31.0,45.0,1.0,1.1688312,12393.06,80.0,9132,45.0,30.5,31.5,44.4155844,45.5844156
31.0,46.1688312,1.0,1.1688312,12393.06,80.0,9133,46.1688312,30.5,31.5,45.5844156,46.7532468
31.0,47.3376623,1.0,1.1688312,12393.06,80.0,9134,47.337662300000005,30.5,31.5,46.753246700000005,47.922077900000005
31.0,48.5064935,1.0,1.1688312,12393.06,80.0,9135,48.506493500000005,30.5,31.5,47.922077900000005,49.090909100000005
30.0,44.5659164,1.0,1.1575563,12401.62,80.0,9136,44.56591639999999,29.5,30.5,43.987138249999994,45.14469454999999
30.0,45.7234727,1.0,1.1575563,12401.62,80.0,9137,45.7234727,29.5,30.5,45.144694550000004,46.30225085
30.0,46.8810289,1.0,1.1575563,12401.62,80.0,9138,46.88102889999999,29.5,30.5,46.30225074999999,47.45980704999999
30.0,48.0385852,1.0,1.1575563,12401.62,80.0,9139,48.0385852,29.5,30.5,47.45980705,48.61736335
29.0,44.1401274,1.0,1.1464968,12406.28,80.0,9140,44.14012739999998,28.5,29.5,43.566878999999986,44.71337579999998
29.0,45.2866242,1.0,1.1464968,12406.28,80.0,9141,45.286624200000006,28.5,29.5,44.71337580000001,45.8598726
29.0,46.433121,1.0,1.1464968,12406.28,80.0,9142,46.433121,28.5,29.5,45.8598726,47.0063694
28.0,44.8580442,1.0,1.1356467,12407.1,80.0,9143,44.858044199999995,27.5,28.5,44.29022085,45.42586754999999
31.0,42.6623377,1.0,1.1688312,12393.06,80.0,9214,42.662337699999995,30.5,31.5,42.077922099999995,43.246753299999995
30.0,43.4083601,1.0,1.1575563,12401.62,80.0,9218,43.40836010000001,29.5,30.5,42.82958195000001,43.98713825000001
29.0,42.9936306,1.0,1.1464968,12406.28,80.0,9222,42.99363060000002,28.5,29.5,42.42038220000002,43.566879000000014
29.0,47.5796178,1.0,1.1464968,12406.28,80.0,9223,47.579617799999994,28.5,29.5,47.0063694,48.15286619999999
28.0,42.5867508,1.0,1.1356467,12407.1,80.0,9228,42.586750800000004,27.5,28.5,42.01892745000001,43.15457415
28.0,43.7223975,1.0,1.1356467,12407.1,80.0,9229,43.7223975,27.5,28.5,43.15457415,44.29022085
28.0,45.9936909,1.0,1.1356467,12407.1,80.0,9230,45.99369089999999,27.5,28.5,45.42586754999999,46.56151424999999
28.0,47.1293375,1.0,1.1356467,12407.1,80.0,9231,47.12933749999999,27.5,28.5,46.561514149999994,47.69716084999999
28.0,48.2649842,1.0,1.1356467,12407.1,80.0,9232,48.264984200000015,27.5,28.5,47.69716085000002,48.83280755000001
27.0,43.3125,1.0,1.125,12404.16,80.0,9237,43.3125,26.5,27.5,42.75,43.875
27.0,44.4375,1.0,1.125,12404.16,80.0,9238,44.4375,26.5,27.5,43.875,45.0
