mean,std,count,dist_mid
0.9333414696019166,0.16365787680574267,775,125.0
0.8734870846174644,0.22526886334997112,209,175.0
0.8343283519997804,0.30203056505765147,990,225.0
0.7659889474509709,0.37169016902811614,472,275.0
0.7475333353517876,0.3862756203253125,1203,325.0
0.6833421069935216,0.42933804459293534,690,375.0
0.6742330878024183,0.4378406818500985,1242,425.0
0.635215933456613,0.4654004289549789,949,475.0
0.6261459981262084,0.45028228950325366,986,525.0
0.5844635172762057,0.4824554489137197,1478,575.0
0.5969283415061022,0.4434604728063097,1200,625.0
0.563758751091024,0.48599310131719436,1467,675.0
0.5521672286190775,0.4580483769686414,1341,725.0
0.5420307060587712,0.4894399618514288,1425,775.0
0.5430848690051527,0.4492914106910304,1442,825.0
0.5411218810379679,0.47595468118153605,1383,875.0
0.5037189828856262,0.4834359522328495,1511,925.0
0.5339242045241577,0.48005207346195206,1033,975.0
0.483985154871766,0.5048194998584797,1855,1025.0
0.5452101568813336,0.47933842705759466,1186,1075.0
0.4518529425599903,0.529255281051385,1730,1125.0
0.5118302069790741,0.5265086867647322,1218,1175.0
0.4283723860132286,0.5583351337642607,1559,1225.0
0.48101924312062233,0.5507064963928505,1256,1275.0
0.40882729394578976,0.5733222949186658,1379,1325.0
0.49427517025382706,0.556087855990812,1157,1375.0
0.42838299406368346,0.5682321497769292,1210,1425.0
0.4823322267473767,0.5728550076432393,1153,1475.0
0.4536811582264339,0.548549957256294,934,1525.0
0.49657867786407817,0.553216875691316,1134,1575.0
0.46660598848211227,0.5255352860576491,872,1625.0
0.5161275603467421,0.513682816028034,963,1675.0
0.4481626333008146,0.5286727409549145,786,1725.0
0.5404889639057695,0.48743823670411046,742,1775.0
0.40643544989159636,0.5519210837594312,664,1825.0
0.48313222604688233,0.5519754596457118,580,1875.0
0.3229830174496874,0.609268850297455,488,1925.0
0.3986556534902274,0.6214306218238688,405,1975.0
0.22758554569273365,0.6597357640526309,340,2025.0
0.2775826727170068,0.6823384764629887,288,2075.0
0.044329282849257245,0.7083172394399871,216,2125.0
0.12946555623552594,0.7268737900204083,168,2175.0
-0.17873655964464089,0.6841053537929197,113,2225.0
-0.03730477140762053,0.7022049900203817,97,2275.0
-0.3277816135069045,0.6077027547719404,67,2325.0
-0.19473556541896117,0.647333481182886,46,2375.0
-0.4066181262211539,0.550410245229597,34,2425.0
-0.3523757098818239,0.5578342750522312,21,2475.0
-0.3082244576464724,0.5419208177382392,14,2525.0
-0.354728033916968,0.5542346810619746,9,2575.0
-0.059086760394437186,0.5589535314867613,3,2625.0
0.5870653811599191,0.002009720982757218,2,2675.0
0.5902694647180555,,1,2725.0
